asset,start,end
X,2020-01-04 06:17:00,2020-01-04 07:13:00
X,2020-01-04 07:33:00,2020-01-04 08:32:00
Z,2020-01-04 08:00:00,2020-01-04 08:57:00
X,2020-01-04 08:43:00,2020-01-04 09:39:00
Z,2020-01-04 09:50:00,2020-01-04 10:46:00
X,2020-01-04 09:51:00,2020-01-04 10:47:00
Z,2020-01-04 10:58:00,2020-01-04 11:57:00
X,2020-01-04 11:39:00,2020-01-04 12:38:00
Z,2020-01-04 12:35:00,2020-01-04 13:32:00
X,2020-01-04 13:11:00,2020-01-04 14:08:00
Z,2020-01-04 14:07:00,2020-01-04 15:03:00
Z,2020-01-04 15:16:00,2020-01-04 16:05:00
X,2020-01-04 15:23:00,2020-01-04 16:19:00
X,2020-01-04 16:30:00,2020-01-04 17:26:00
Z,2020-01-04 16:30:00,2020-01-04 17:27:00
X,2020-01-04 17:50:00,2020-01-04 18:49:00
Z,2020-01-04 18:03:00,2020-01-04 18:42:00
Z,2020-01-04 19:06:00,2020-01-04 20:03:00
X,2020-01-04 19:43:00,2020-01-04 20:42:00
Z,2020-01-04 21:03:00,2020-01-04 22:00:00
X,2020-01-04 21:34:00,2020-01-04 22:31:00
Z,2020-01-04 22:11:00,2020-01-04 23:00:00
X,2020-01-04 22:42:00,2020-01-04 23:39:00
Z,2020-01-04 23:26:00,2020-01-05 00:05:00
Z,2020-01-05 00:16:00,2020-01-05 01:13:00
X,2020-01-05 01:07:00,2020-01-05 02:03:00
Z,2020-01-05 01:29:00,2020-01-05 02:25:00
X,2020-01-05 02:15:00,2020-01-05 03:04:00
X,2020-01-05 03:23:00,2020-01-05 04:22:00
Z,2020-01-05 03:33:00,2020-01-05 04:29:00
X,2020-01-05 04:36:00,2020-01-05 05:25:00
X,2020-01-05 05:40:00,2020-01-05 06:36:00
Z,2020-01-05 05:49:00,2020-01-05 06:46:00
X,2020-01-05 07:04:00,2020-01-05 08:00:00
Z,2020-01-05 07:15:00,2020-01-05 08:12:00
Y,2020-01-05 07:54:00,2020-01-05 09:12:00
X,2020-01-05 08:14:00,2020-01-05 09:03:00
Y,2020-01-05 09:25:00,2020-01-05 09:40:00
X,2020-01-05 09:33:00,2020-01-05 10:29:00
Y,2020-01-05 10:07:00,2020-01-05 11:04:00
Z,2020-01-05 11:15:00,2020-01-05 12:12:00
X,2020-01-05 12:12:00,2020-01-05 13:08:00
Y,2020-01-05 13:10:00,2020-01-05 13:25:00
Z,2020-01-05 13:14:00,2020-01-05 14:11:00
X,2020-01-05 13:24:00,2020-01-05 14:23:00
Y,2020-01-05 14:29:00,2020-01-05 15:25:00
X,2020-01-05 14:50:00,2020-01-05 15:39:00
Z,2020-01-05 15:44:00,2020-01-05 16:40:00
X,2020-01-05 15:58:00,2020-01-05 16:47:00
Z,2020-01-05 16:58:00,2020-01-05 17:48:00
X,2020-01-05 16:59:00,2020-01-05 17:48:00
Y,2020-01-05 17:18:00,2020-01-05 18:15:00
X,2020-01-05 18:00:00,2020-01-05 18:50:00
Z,2020-01-05 18:07:00,2020-01-05 19:03:00
Y,2020-01-05 19:18:00,2020-01-05 19:43:00
Z,2020-01-05 19:21:00,2020-01-05 20:18:00
Y,2020-01-05 20:06:00,2020-01-05 21:03:00
X,2020-01-05 21:20:00,2020-01-05 22:19:00
Y,2020-01-05 21:58:00,2020-01-05 22:47:00
Z,2020-01-05 22:33:00,2020-01-05 23:29:00
X,2020-01-05 22:42:00,2020-01-05 23:20:00
Y,2020-01-05 23:22:00,2020-01-06 00:21:00
X,2020-01-05 23:43:00,2020-01-06 00:39:00
Z,2020-01-06 00:38:00,2020-01-06 01:35:00
Y,2020-01-06 01:07:00,2020-01-06 01:57:00
X,2020-01-06 01:32:00,2020-01-06 02:31:00
Y,2020-01-06 02:19:00,2020-01-06 03:15:00
Z,2020-01-06 02:50:00,2020-01-06 03:28:00
X,2020-01-06 03:00:00,2020-01-06 03:57:00
Y,2020-01-06 03:27:00,2020-01-06 04:23:00
Z,2020-01-06 03:44:00,2020-01-06 04:41:00
X,2020-01-06 04:23:00,2020-01-06 05:19:00
Y,2020-01-06 04:34:00,2020-01-06 05:23:00
Z,2020-01-06 05:01:00,2020-01-06 05:57:00
X,2020-01-06 05:39:00,2020-01-06 06:36:00
Y,2020-01-06 05:44:00,2020-01-06 05:58:00
Y,2020-01-06 06:29:00,2020-01-06 07:18:00
X,2020-01-06 06:47:00,2020-01-06 07:46:00
Y,2020-01-06 07:44:00,2020-01-06 08:34:00
X,2020-01-06 08:18:00,2020-01-06 09:14:00
Z,2020-01-06 08:21:00,2020-01-06 09:17:00
Y,2020-01-06 09:07:00,2020-01-06 10:06:00
Z,2020-01-06 09:39:00,2020-01-06 10:35:00
X,2020-01-06 09:41:00,2020-01-06 10:30:00
Y,2020-01-06 10:31:00,2020-01-06 10:52:00
X,2020-01-06 10:46:00,2020-01-06 11:45:00
Y,2020-01-06 11:53:00,2020-01-06 12:52:00
Z,2020-01-06 11:56:00,2020-01-06 12:52:00
X,2020-01-06 12:08:00,2020-01-06 12:57:00
Z,2020-01-06 13:15:00,2020-01-06 14:12:00
X,2020-01-06 13:23:00,2020-01-06 14:19:00
Y,2020-01-06 13:27:00,2020-01-06 14:24:00
Z,2020-01-06 14:44:00,2020-01-06 15:40:00
X,2020-01-06 14:45:00,2020-01-06 15:41:00
Y,2020-01-06 14:59:00,2020-01-06 15:55:00
X,2020-01-06 16:15:00,2020-01-06 17:14:00
Y,2020-01-06 16:18:00,2020-01-06 17:14:00
Z,2020-01-06 17:32:00,2020-01-06 18:59:00
X,2020-01-06 17:37:00,2020-01-06 18:36:00
Y,2020-01-06 18:44:00,2020-01-06 19:33:00
X,2020-01-06 18:59:00,2020-01-06 19:48:00
Z,2020-01-06 19:15:00,2020-01-06 20:11:00
Y,2020-01-06 20:08:00,2020-01-06 21:05:00
X,2020-01-06 20:15:00,2020-01-06 20:54:00
X,2020-01-06 21:35:00,2020-01-06 22:34:00
Z,2020-01-06 21:39:00,2020-01-06 22:00:00
Y,2020-01-06 21:51:00,2020-01-06 22:39:00
Z,2020-01-06 22:27:00,2020-01-06 22:41:00
Y,2020-01-06 22:51:00,2020-01-06 23:47:00
Z,2020-01-06 23:29:00,2020-01-07 00:25:00
X,2020-01-06 23:36:00,2020-01-07 00:25:00
Y,2020-01-07 00:35:00,2020-01-07 00:59:00
Z,2020-01-07 00:45:00,2020-01-07 01:41:00
X,2020-01-07 01:04:00,2020-01-07 02:01:00
Y,2020-01-07 01:43:00,2020-01-07 02:42:00
Z,2020-01-07 02:04:00,2020-01-07 03:00:00
Y,2020-01-07 03:07:00,2020-01-07 04:06:00
Z,2020-01-07 03:35:00,2020-01-07 04:31:00
X,2020-01-07 03:54:00,2020-01-07 04:53:00
Z,2020-01-07 05:01:00,2020-01-07 06:10:00
Y,2020-01-07 05:04:00,2020-01-07 06:03:00
X,2020-01-07 05:09:00,2020-01-07 06:05:00
Y,2020-01-07 06:23:00,2020-01-07 06:38:00
Z,2020-01-07 07:15:00,2020-01-07 08:11:00
Y,2020-01-07 07:35:00,2020-01-07 08:31:00
X,2020-01-07 07:48:00,2020-01-07 08:45:00
Z,2020-01-07 08:30:00,2020-01-07 09:27:00
Y,2020-01-07 09:23:00,2020-01-07 10:12:00
Y,2020-01-07 10:23:00,2020-01-07 11:22:00
Z,2020-01-07 10:39:00,2020-01-07 11:35:00
X,2020-01-07 10:42:00,2020-01-07 11:31:00
X,2020-01-07 11:54:00,2020-01-07 12:51:00
Y,2020-01-07 11:54:00,2020-01-07 12:15:00
Z,2020-01-07 11:54:00,2020-01-07 12:54:00
Y,2020-01-07 13:01:00,2020-01-07 13:50:00
X,2020-01-07 13:06:00,2020-01-07 14:05:00
Z,2020-01-07 13:14:00,2020-01-07 13:39:00
Z,2020-01-07 14:14:00,2020-01-07 15:11:00
Y,2020-01-07 14:18:00,2020-01-07 15:17:00
X,2020-01-07 14:39:00,2020-01-07 15:35:00
Z,2020-01-07 15:22:00,2020-01-07 16:18:00
Y,2020-01-07 15:29:00,2020-01-07 15:43:00
X,2020-01-07 15:51:00,2020-01-07 16:50:00
Y,2020-01-07 16:12:00,2020-01-07 17:08:00
Z,2020-01-07 16:58:00,2020-01-07 17:58:00
Y,2020-01-07 17:19:00,2020-01-07 17:34:00
Y,2020-01-07 17:57:00,2020-01-07 18:54:00
Z,2020-01-07 18:12:00,2020-01-07 19:00:00
X,2020-01-07 18:40:00,2020-01-07 19:05:00
Z,2020-01-07 19:14:00,2020-01-07 20:13:00
Y,2020-01-07 19:42:00,2020-01-07 20:31:00
X,2020-01-07 19:50:00,2020-01-07 20:50:00
Z,2020-01-07 20:27:00,2020-01-07 21:16:00
Y,2020-01-07 20:42:00,2020-01-07 21:41:00
X,2020-01-07 21:39:00,2020-01-07 22:38:00
Y,2020-01-07 22:00:00,2020-01-07 22:57:00
Z,2020-01-07 22:43:00,2020-01-07 23:32:00
Y,2020-01-07 23:25:00,2020-01-08 00:25:00
X,2020-01-07 23:50:00,2020-01-08 00:46:00
Y,2020-01-08 00:42:00,2020-01-08 01:39:00
X,2020-01-08 01:12:00,2020-01-08 02:08:00
Z,2020-01-08 01:28:00,2020-01-08 02:25:00
Y,2020-01-08 02:12:00,2020-01-08 02:27:00
Z,2020-01-08 02:36:00,2020-01-08 03:25:00
Y,2020-01-08 02:43:00,2020-01-08 02:58:00
X,2020-01-08 03:11:00,2020-01-08 04:07:00
Y,2020-01-08 03:24:00,2020-01-08 03:45:00
Z,2020-01-08 04:01:00,2020-01-08 04:51:00
Y,2020-01-08 04:05:00,2020-01-08 04:26:00
X,2020-01-08 04:23:00,2020-01-08 05:19:00
X,2020-01-08 05:30:00,2020-01-08 06:26:00
Z,2020-01-08 05:40:00,2020-01-08 06:36:00
X,2020-01-08 06:41:00,2020-01-08 07:41:00
Y,2020-01-08 06:56:00,2020-01-08 07:52:00
Z,2020-01-08 07:07:00,2020-01-08 08:04:00
Z,2020-01-08 08:16:00,2020-01-08 09:13:00
X,2020-01-08 08:34:00,2020-01-08 09:30:00
Y,2020-01-08 09:13:00,2020-01-08 10:01:00
X,2020-01-08 09:41:00,2020-01-08 10:30:00
Y,2020-01-08 10:19:00,2020-01-08 11:16:00
Z,2020-01-08 10:34:00,2020-01-08 11:33:00
X,2020-01-08 11:26:00,2020-01-08 12:25:00
Z,2020-01-08 12:03:00,2020-01-08 12:59:00
Y,2020-01-08 12:04:00,2020-01-08 12:53:00
Y,2020-01-08 13:39:00,2020-01-08 14:35:00
X,2020-01-08 13:56:00,2020-01-08 14:55:00
Z,2020-01-08 14:42:00,2020-01-08 15:38:00
Y,2020-01-08 14:52:00,2020-01-08 15:17:00
Y,2020-01-08 15:28:00,2020-01-08 16:17:00
X,2020-01-08 15:39:00,2020-01-08 16:28:00
Z,2020-01-08 16:25:00,2020-01-08 17:15:00
X,2020-01-08 17:10:00,2020-01-08 17:25:00
Y,2020-01-08 17:13:00,2020-01-08 18:09:00
Z,2020-01-08 17:26:00,2020-01-08 18:22:00
X,2020-01-08 18:13:00,2020-01-08 19:12:00
Y,2020-01-08 18:30:00,2020-01-08 19:26:00
Z,2020-01-08 19:44:00,2020-01-08 20:41:00
X,2020-01-08 20:02:00,2020-01-08 20:52:00
Y,2020-01-08 20:20:00,2020-01-08 21:09:00
X,2020-01-08 21:03:00,2020-01-08 21:53:00
Z,2020-01-08 21:06:00,2020-01-08 22:05:00
Y,2020-01-08 21:54:00,2020-01-08 22:43:00
Y,2020-01-08 23:09:00,2020-01-09 00:06:00
X,2020-01-08 23:14:00,2020-01-09 00:11:00
Z,2020-01-08 23:16:00,2020-01-09 00:13:00
X,2020-01-09 00:22:00,2020-01-09 01:11:00
Y,2020-01-09 00:33:00,2020-01-09 01:29:00
Z,2020-01-09 01:27:00,2020-01-09 02:23:00
X,2020-01-09 01:29:00,2020-01-09 02:25:00
X,2020-01-09 02:36:00,2020-01-09 03:33:00
Z,2020-01-09 02:54:00,2020-01-09 03:50:00
Y,2020-01-09 03:27:00,2020-01-09 04:26:00
X,2020-01-09 04:06:00,2020-01-09 04:44:00
Z,2020-01-09 04:34:00,2020-01-09 05:31:00
Y,2020-01-09 04:37:00,2020-01-09 05:27:00
X,2020-01-09 04:57:00,2020-01-09 05:35:00
Y,2020-01-09 06:06:00,2020-01-09 07:03:00
X,2020-01-09 06:25:00,2020-01-09 07:21:00
Z,2020-01-09 07:04:00,2020-01-09 08:00:00
Z,2020-01-09 08:12:00,2020-01-09 09:08:00
X,2020-01-09 08:37:00,2020-01-09 09:26:00
Y,2020-01-09 08:42:00,2020-01-09 09:41:00
Z,2020-01-09 09:34:00,2020-01-09 10:31:00
Y,2020-01-09 09:52:00,2020-01-09 10:49:00
X,2020-01-09 09:59:00,2020-01-09 10:55:00
Z,2020-01-09 10:46:00,2020-01-09 11:42:00
X,2020-01-09 11:23:00,2020-01-09 11:38:00
X,2020-01-09 11:54:00,2020-01-09 12:43:00
Z,2020-01-09 12:03:00,2020-01-09 13:07:00
Y,2020-01-09 12:44:00,2020-01-09 13:43:00
X,2020-01-09 13:42:00,2020-01-09 14:31:00
Z,2020-01-09 13:45:00,2020-01-09 14:41:00
Y,2020-01-09 14:14:00,2020-01-09 14:35:00
Z,2020-01-09 15:11:00,2020-01-09 16:07:00
Y,2020-01-09 15:48:00,2020-01-09 16:47:00
X,2020-01-09 16:15:00,2020-01-09 17:14:00
Z,2020-01-09 16:18:00,2020-01-09 17:14:00
Y,2020-01-09 17:20:00,2020-01-09 18:17:00
Z,2020-01-09 17:38:00,2020-01-09 18:27:00
X,2020-01-09 18:03:00,2020-01-09 19:00:00
Y,2020-01-09 18:58:00,2020-01-09 19:23:00
X,2020-01-09 19:16:00,2020-01-09 19:55:00
Z,2020-01-09 19:28:00,2020-01-09 20:28:00
Y,2020-01-09 19:36:00,2020-01-09 20:32:00
X,2020-01-09 20:25:00,2020-01-09 21:24:00
Z,2020-01-09 20:56:00,2020-01-09 21:53:00
Y,2020-01-09 21:07:00,2020-01-09 22:04:00
X,2020-01-09 21:36:00,2020-01-09 22:32:00
Y,2020-01-09 22:24:00,2020-01-09 23:13:00
Z,2020-01-09 22:45:00,2020-01-09 23:44:00
X,2020-01-09 23:50:00,2020-01-10 00:46:00
Z,2020-01-09 23:55:00,2020-01-10 00:54:00
Y,2020-01-10 00:43:00,2020-01-10 01:42:00
X,2020-01-10 01:04:00,2020-01-10 02:00:00
Y,2020-01-10 01:53:00,2020-01-10 02:50:00
Z,2020-01-10 01:54:00,2020-01-10 02:32:00
Y,2020-01-10 03:06:00,2020-01-10 04:05:00
Z,2020-01-10 04:16:00,2020-01-10 04:41:00
Y,2020-01-10 04:40:00,2020-01-10 05:36:00
Z,2020-01-10 05:36:00,2020-01-10 06:15:00
Y,2020-01-10 06:05:00,2020-01-10 07:02:00
X,2020-01-10 06:43:00,2020-01-10 07:33:00
Z,2020-01-10 06:51:00,2020-01-10 07:16:00
Y,2020-01-10 07:13:00,2020-01-10 08:12:00
X,2020-01-10 08:11:00,2020-01-10 09:10:00
Y,2020-01-10 08:23:00,2020-01-10 09:19:00
Z,2020-01-10 08:37:00,2020-01-10 09:34:00
X,2020-01-10 09:43:00,2020-01-10 10:39:00
Z,2020-01-10 10:11:00,2020-01-10 11:11:00
X,2020-01-10 11:10:00,2020-01-10 12:06:00
Z,2020-01-10 11:34:00,2020-01-10 12:33:00
Y,2020-01-10 12:25:00,2020-01-10 13:21:00
Z,2020-01-10 12:44:00,2020-01-10 13:40:00
X,2020-01-10 13:01:00,2020-01-10 13:16:00
Z,2020-01-10 13:51:00,2020-01-10 14:06:00
Y,2020-01-10 13:56:00,2020-01-10 14:52:00
X,2020-01-10 14:12:00,2020-01-10 15:11:00
Z,2020-01-10 14:52:00,2020-01-10 15:13:00
Y,2020-01-10 15:11:00,2020-01-10 16:00:00
Z,2020-01-10 15:49:00,2020-01-10 16:45:00
X,2020-01-10 16:18:00,2020-01-10 17:17:00
Y,2020-01-10 16:28:00,2020-01-10 17:24:00
Z,2020-01-10 16:56:00,2020-01-10 17:35:00
Y,2020-01-10 17:53:00,2020-01-10 19:34:00
Z,2020-01-10 18:49:00,2020-01-10 19:45:00
X,2020-01-10 19:20:00,2020-01-10 20:16:00
Y,2020-01-10 19:45:00,2020-01-10 20:41:00
Z,2020-01-10 19:56:00,2020-01-10 20:11:00
X,2020-01-10 20:35:00,2020-01-10 21:32:00
Z,2020-01-10 21:42:00,2020-01-10 22:38:00
X,2020-01-10 21:48:00,2020-01-10 22:47:00
Y,2020-01-10 22:01:00,2020-01-10 22:40:00
Z,2020-01-10 22:57:00,2020-01-10 23:53:00
Y,2020-01-10 23:08:00,2020-01-10 23:58:00
X,2020-01-10 23:13:00,2020-01-11 00:12:00
Z,2020-01-11 00:04:00,2020-01-11 01:01:00
Y,2020-01-11 00:09:00,2020-01-11 00:58:00
Y,2020-01-11 01:20:00,2020-01-11 02:17:00
Z,2020-01-11 01:20:00,2020-01-11 02:19:00
X,2020-01-11 01:49:00,2020-01-11 02:04:00
Y,2020-01-11 02:39:00,2020-01-11 03:35:00
Z,2020-01-11 03:04:00,2020-01-11 04:00:00
X,2020-01-11 03:08:00,2020-01-11 03:46:00
X,2020-01-11 03:58:00,2020-01-11 04:54:00
Y,2020-01-11 03:58:00,2020-01-11 04:55:00
Z,2020-01-11 04:12:00,2020-01-11 05:11:00
X,2020-01-11 05:11:00,2020-01-11 06:10:00
Y,2020-01-11 05:21:00,2020-01-11 06:20:00
Z,2020-01-11 05:52:00,2020-01-11 06:13:00
Y,2020-01-11 06:47:00,2020-01-11 07:46:00
Z,2020-01-11 07:43:00,2020-01-11 08:39:00
X,2020-01-11 08:01:00,2020-01-11 09:00:00
Y,2020-01-11 08:27:00,2020-01-11 09:23:00
Z,2020-01-11 08:50:00,2020-01-11 09:47:00
X,2020-01-11 09:11:00,2020-01-11 10:10:00
Y,2020-01-11 09:34:00,2020-01-11 10:30:00
Z,2020-01-11 10:18:00,2020-01-11 10:39:00
Y,2020-01-11 10:41:00,2020-01-11 11:38:00
X,2020-01-11 11:23:00,2020-01-11 12:13:00
Z,2020-01-11 11:46:00,2020-01-11 12:10:00
Y,2020-01-11 12:09:00,2020-01-11 13:05:00
Z,2020-01-11 13:16:00,2020-01-11 14:12:00
X,2020-01-11 13:43:00,2020-01-11 14:42:00
Y,2020-01-11 14:07:00,2020-01-11 15:04:00
Z,2020-01-11 14:49:00,2020-01-11 15:48:00
X,2020-01-11 15:23:00,2020-01-11 16:20:00
Z,2020-01-11 16:32:00,2020-01-11 16:57:00
X,2020-01-11 16:37:00,2020-01-11 17:36:00
Y,2020-01-11 17:03:00,2020-01-11 18:00:00
Z,2020-01-11 17:43:00,2020-01-11 18:39:00
X,2020-01-11 17:47:00,2020-01-11 18:46:00
Y,2020-01-11 18:36:00,2020-01-11 19:35:00
Z,2020-01-11 19:00:00,2020-01-11 19:59:00
X,2020-01-11 19:51:00,2020-01-11 20:41:00
Y,2020-01-11 19:54:00,2020-01-11 20:19:00
Y,2020-01-11 20:42:00,2020-01-11 21:21:00
Z,2020-01-11 20:44:00,2020-01-11 21:06:00
Y,2020-01-11 21:32:00,2020-01-11 22:21:00
X,2020-01-11 21:53:00,2020-01-11 22:43:00
Y,2020-01-11 22:32:00,2020-01-11 23:31:00
Z,2020-01-11 22:33:00,2020-01-11 23:30:00
X,2020-01-11 23:36:00,2020-01-12 00:33:00
Y,2020-01-12 00:13:00,2020-01-12 01:13:00
Z,2020-01-12 00:58:00,2020-01-12 01:47:00
Y,2020-01-12 01:24:00,2020-01-12 02:02:00
X,2020-01-12 01:32:00,2020-01-12 02:29:00
Z,2020-01-12 02:21:00,2020-01-12 03:10:00
Y,2020-01-12 02:23:00,2020-01-12 03:13:00
Y,2020-01-12 03:28:00,2020-01-12 04:17:00
Z,2020-01-12 03:41:00,2020-01-12 04:38:00
Y,2020-01-12 05:00:00,2020-01-12 05:57:00
Z,2020-01-12 05:31:00,2020-01-12 06:28:00
X,2020-01-12 06:23:00,2020-01-12 07:22:00
Z,2020-01-12 06:59:00,2020-01-12 07:55:00
Y,2020-01-12 07:36:00,2020-01-12 08:25:00
X,2020-01-12 07:40:00,2020-01-12 08:37:00
Z,2020-01-12 08:06:00,2020-01-12 09:02:00
X,2020-01-12 08:52:00,2020-01-12 09:42:00
Z,2020-01-12 09:13:00,2020-01-12 10:12:00
Y,2020-01-12 09:15:00,2020-01-12 10:14:00
X,2020-01-12 09:53:00,2020-01-12 10:52:00
Z,2020-01-12 10:44:00,2020-01-12 11:40:00
X,2020-01-12 11:10:00,2020-01-12 12:07:00
Z,2020-01-12 11:53:00,2020-01-12 12:50:00
Y,2020-01-12 12:16:00,2020-01-12 13:05:00
X,2020-01-12 12:18:00,2020-01-12 13:17:00
Z,2020-01-12 13:01:00,2020-01-12 13:57:00
Y,2020-01-12 13:37:00,2020-01-12 14:33:00
X,2020-01-12 13:51:00,2020-01-12 14:40:00
Z,2020-01-12 14:08:00,2020-01-12 14:57:00
Y,2020-01-12 14:45:00,2020-01-12 15:44:00
X,2020-01-12 15:22:00,2020-01-12 16:18:00
Y,2020-01-12 16:01:00,2020-01-12 16:57:00
Z,2020-01-12 16:13:00,2020-01-12 17:10:00
X,2020-01-12 16:53:00,2020-01-12 17:49:00
Y,2020-01-12 17:35:00,2020-01-12 18:31:00
Z,2020-01-12 17:42:00,2020-01-12 18:38:00
X,2020-01-12 18:04:00,2020-01-12 18:53:00
Z,2020-01-12 18:49:00,2020-01-12 19:48:00
X,2020-01-12 19:10:00,2020-01-12 20:06:00
Y,2020-01-12 19:33:00,2020-01-12 20:30:00
Z,2020-01-12 20:08:00,2020-01-12 20:33:00
X,2020-01-12 20:23:00,2020-01-12 21:22:00
Y,2020-01-12 20:47:00,2020-01-12 21:43:00
Z,2020-01-12 21:04:00,2020-01-12 22:00:00
Z,2020-01-12 22:11:00,2020-01-12 23:10:00
X,2020-01-12 22:13:00,2020-01-12 23:14:00
Y,2020-01-12 22:51:00,2020-01-12 23:39:00
Z,2020-01-12 23:30:00,2020-01-13 00:26:00
X,2020-01-12 23:37:00,2020-01-13 00:33:00
Z,2020-01-13 00:45:00,2020-01-13 01:42:00
Y,2020-01-13 01:35:00,2020-01-13 02:31:00
X,2020-01-13 01:39:00,2020-01-13 02:36:00
Z,2020-01-13 02:49:00,2020-01-13 03:45:00
Y,2020-01-13 03:07:00,2020-01-13 03:57:00
Z,2020-01-13 03:56:00,2020-01-13 04:55:00
Y,2020-01-13 04:09:00,2020-01-13 05:08:00
X,2020-01-13 04:55:00,2020-01-13 05:54:00
