call_type,arrived,aborted,answered,complete
Type 2,2020-02-15 09:03:09,,2020-02-15 09:03:27,2020-02-15 09:07:08
Type 2,2020-02-15 09:03:24,,2020-02-15 09:03:41,2020-02-15 09:07:13
Type 2,2020-02-15 09:07:02,2020-02-15 09:07:14,,
Type 1,2020-02-15 09:07:05,2020-02-15 09:07:24,,
Type 2,2020-02-15 09:05:53,,2020-02-15 09:06:04,2020-02-15 09:07:27
Type 1,2020-02-15 09:05:20,,2020-02-15 09:05:50,2020-02-15 09:07:29
Type 1,2020-02-15 09:04:54,,2020-02-15 09:05:32,2020-02-15 09:07:39
Type 1,2020-02-15 09:06:51,,2020-02-15 09:06:51,2020-02-15 09:07:45
Type 1,2020-02-15 09:05:27,,2020-02-15 09:05:58,2020-02-15 09:07:57
Type 1,2020-02-15 09:07:39,2020-02-15 09:08:00,,
Type 2,2020-02-15 09:03:44,,2020-02-15 09:04:03,2020-02-15 09:08:11
Type 1,2020-02-15 09:06:19,,2020-02-15 09:06:49,2020-02-15 09:08:19
Type 1,2020-02-15 09:07:55,2020-02-15 09:08:20,,
Type 1,2020-02-15 09:06:19,,2020-02-15 09:06:48,2020-02-15 09:08:21
Type 2,2020-02-15 09:06:02,,2020-02-15 09:06:13,2020-02-15 09:08:25
Type 2,2020-02-15 09:04:50,,2020-02-15 09:05:23,2020-02-15 09:08:39
Type 2,2020-02-15 09:04:34,,2020-02-15 09:04:47,2020-02-15 09:08:43
Type 1,2020-02-15 09:08:21,2020-02-15 09:08:49,,
Type 2,2020-02-15 09:08:38,2020-02-15 09:08:51,,
Type 2,2020-02-15 09:08:23,2020-02-15 09:08:51,,
Type 1,2020-02-15 09:07:13,,2020-02-15 09:07:39,2020-02-15 09:08:55
Type 2,2020-02-15 09:08:56,2020-02-15 09:08:57,,
Type 1,2020-02-15 09:08:52,2020-02-15 09:09:06,,
Type 2,2020-02-15 09:08:25,2020-02-15 09:09:09,,
Type 2,2020-02-15 09:06:52,,2020-02-15 09:07:02,2020-02-15 09:09:10
Type 1,2020-02-15 09:05:28,,2020-02-15 09:05:59,2020-02-15 09:09:17
Type 1,2020-02-15 09:07:09,,2020-02-15 09:07:29,2020-02-15 09:09:19
Type 1,2020-02-15 09:08:48,2020-02-15 09:09:24,,
Type 2,2020-02-15 09:05:57,,2020-02-15 09:06:06,2020-02-15 09:09:30
Type 2,2020-02-15 09:07:08,,2020-02-15 09:07:27,2020-02-15 09:09:35
Type 2,2020-02-15 09:06:35,,2020-02-15 09:06:49,2020-02-15 09:09:38
Type 1,2020-02-15 09:07:31,,2020-02-15 09:08:11,2020-02-15 09:09:41
Type 1,2020-02-15 09:06:05,,2020-02-15 09:06:28,2020-02-15 09:09:49
Type 2,2020-02-15 09:05:50,,2020-02-15 09:05:59,2020-02-15 09:10:05
Type 2,2020-02-15 09:10:13,2020-02-15 09:10:22,,
Type 2,2020-02-15 09:07:26,,2020-02-15 09:07:57,2020-02-15 09:10:26
Type 1,2020-02-15 09:10:26,2020-02-15 09:10:34,,
Type 1,2020-02-15 09:08:18,,2020-02-15 09:08:43,2020-02-15 09:10:36
Type 1,2020-02-15 09:08:14,,2020-02-15 09:08:39,2020-02-15 09:10:41
Type 2,2020-02-15 09:06:53,,2020-02-15 09:07:08,2020-02-15 09:10:42
Type 1,2020-02-15 09:06:53,,2020-02-15 09:07:07,2020-02-15 09:10:47
Type 2,2020-02-15 09:08:19,,2020-02-15 09:08:55,2020-02-15 09:10:52
Type 1,2020-02-15 09:08:41,,2020-02-15 09:09:30,2020-02-15 09:10:58
Type 2,2020-02-15 09:07:24,,2020-02-15 09:07:45,2020-02-15 09:11:09
Type 2,2020-02-15 09:07:01,,2020-02-15 09:07:13,2020-02-15 09:11:19
Type 2,2020-02-15 09:09:15,,2020-02-15 09:09:35,2020-02-15 09:11:19
Type 2,2020-02-15 09:07:38,,2020-02-15 09:08:19,2020-02-15 09:11:22
Type 1,2020-02-15 09:09:26,,2020-02-15 09:09:38,2020-02-15 09:11:34
Type 1,2020-02-15 09:09:37,,2020-02-15 09:09:41,2020-02-15 09:11:44
Type 2,2020-02-15 09:07:48,,2020-02-15 09:08:21,2020-02-15 09:11:49
Type 2,2020-02-15 09:08:13,,2020-02-15 09:08:25,2020-02-15 09:12:07
Type 1,2020-02-15 09:10:22,,2020-02-15 09:10:26,2020-02-15 09:12:11
Type 1,2020-02-15 09:10:09,,2020-02-15 09:10:09,2020-02-15 09:12:21
Type 1,2020-02-15 09:10:56,,2020-02-15 09:10:58,2020-02-15 09:12:24
Type 1,2020-02-15 09:08:30,,2020-02-15 09:09:17,2020-02-15 09:12:27
Type 1,2020-02-15 09:12:31,2020-02-15 09:12:34,,
Type 1,2020-02-15 09:10:38,,2020-02-15 09:10:42,2020-02-15 09:12:39
Type 2,2020-02-15 09:08:33,,2020-02-15 09:09:19,2020-02-15 09:12:40
Type 1,2020-02-15 09:10:59,,2020-02-15 09:11:09,2020-02-15 09:12:40
Type 2,2020-02-15 09:11:28,,2020-02-15 09:11:28,2020-02-15 09:12:46
Type 1,2020-02-15 09:12:41,2020-02-15 09:12:49,,
Type 1,2020-02-15 09:10:48,,2020-02-15 09:10:52,2020-02-15 09:12:49
Type 2,2020-02-15 09:12:51,2020-02-15 09:13:03,,
Type 1,2020-02-15 09:12:33,2020-02-15 09:13:09,,
Type 1,2020-02-15 09:08:24,,2020-02-15 09:09:10,2020-02-15 09:13:31
Type 1,2020-02-15 09:11:50,,2020-02-15 09:11:50,2020-02-15 09:13:35
Type 2,2020-02-15 09:13:29,2020-02-15 09:13:40,,
Type 2,2020-02-15 09:10:28,,2020-02-15 09:10:36,2020-02-15 09:13:45
Type 1,2020-02-15 09:12:17,,2020-02-15 09:12:40,2020-02-15 09:13:53
Type 2,2020-02-15 09:12:14,,2020-02-15 09:12:27,2020-02-15 09:14:04
Type 1,2020-02-15 09:09:58,,2020-02-15 09:09:58,2020-02-15 09:14:07
Type 1,2020-02-15 09:13:27,2020-02-15 09:14:10,,
Type 2,2020-02-15 09:11:08,,2020-02-15 09:11:19,2020-02-15 09:14:29
Type 1,2020-02-15 09:12:18,,2020-02-15 09:12:40,2020-02-15 09:14:33
Type 1,2020-02-15 09:14:33,2020-02-15 09:14:33,,
Type 2,2020-02-15 09:11:42,,2020-02-15 09:11:42,2020-02-15 09:14:36
Type 1,2020-02-15 09:12:13,,2020-02-15 09:12:21,2020-02-15 09:14:39
Type 2,2020-02-15 09:10:37,,2020-02-15 09:10:41,2020-02-15 09:14:42
Type 2,2020-02-15 09:12:16,,2020-02-15 09:12:39,2020-02-15 09:14:49
Type 1,2020-02-15 09:14:40,2020-02-15 09:14:49,,
Type 2,2020-02-15 09:11:30,,2020-02-15 09:11:30,2020-02-15 09:15:00
Type 1,2020-02-15 09:10:46,,2020-02-15 09:10:47,2020-02-15 09:15:01
Type 1,2020-02-15 09:13:00,,2020-02-15 09:13:35,2020-02-15 09:15:08
Type 2,2020-02-15 09:15:12,2020-02-15 09:15:20,,
Type 2,2020-02-15 09:11:49,,2020-02-15 09:11:49,2020-02-15 09:15:23
Type 2,2020-02-15 09:12:05,,2020-02-15 09:12:11,2020-02-15 09:15:27
Type 2,2020-02-15 09:13:25,,2020-02-15 09:14:07,2020-02-15 09:15:35
Type 1,2020-02-15 09:15:28,2020-02-15 09:15:36,,
Type 2,2020-02-15 09:11:59,,2020-02-15 09:12:07,2020-02-15 09:15:37
Type 1,2020-02-15 09:13:08,,2020-02-15 09:13:45,2020-02-15 09:15:45
Type 2,2020-02-15 09:12:13,,2020-02-15 09:12:24,2020-02-15 09:15:55
Type 2,2020-02-15 09:13:21,,2020-02-15 09:14:04,2020-02-15 09:15:56
Type 2,2020-02-15 09:15:49,2020-02-15 09:15:59,,
Type 1,2020-02-15 09:14:03,,2020-02-15 09:14:42,2020-02-15 09:16:08
Type 1,2020-02-15 09:13:14,,2020-02-15 09:13:53,2020-02-15 09:16:10
Type 1,2020-02-15 09:13:38,,2020-02-15 09:14:33,2020-02-15 09:16:11
Type 1,2020-02-15 09:13:44,,2020-02-15 09:14:36,2020-02-15 09:16:17
Type 2,2020-02-15 09:16:22,2020-02-15 09:16:23,,
Type 2,2020-02-15 09:12:32,,2020-02-15 09:12:49,2020-02-15 09:16:25
Type 1,2020-02-15 09:14:24,,2020-02-15 09:15:00,2020-02-15 09:16:39
Type 1,2020-02-15 09:14:38,,2020-02-15 09:15:08,2020-02-15 09:16:53
Type 1,2020-02-15 09:14:52,,2020-02-15 09:15:23,2020-02-15 09:17:02
Type 2,2020-02-15 09:13:54,,2020-02-15 09:14:39,2020-02-15 09:17:06
Type 1,2020-02-15 09:12:28,,2020-02-15 09:12:46,2020-02-15 09:17:14
Type 2,2020-02-15 09:15:05,,2020-02-15 09:15:35,2020-02-15 09:17:15
Type 2,2020-02-15 09:14:53,,2020-02-15 09:15:27,2020-02-15 09:17:30
Type 2,2020-02-15 09:14:24,,2020-02-15 09:14:49,2020-02-15 09:17:30
Type 1,2020-02-15 09:15:34,,2020-02-15 09:15:55,2020-02-15 09:17:36
Type 1,2020-02-15 09:12:44,,2020-02-15 09:13:31,2020-02-15 09:17:46
Type 1,2020-02-15 09:15:26,,2020-02-15 09:15:37,2020-02-15 09:17:54
Type 1,2020-02-15 09:15:33,,2020-02-15 09:15:45,2020-02-15 09:17:54
Type 2,2020-02-15 09:13:31,,2020-02-15 09:14:29,2020-02-15 09:18:00
Type 2,2020-02-15 09:17:49,2020-02-15 09:18:01,,
Type 1,2020-02-15 09:16:19,,2020-02-15 09:16:25,2020-02-15 09:18:13
Type 1,2020-02-15 09:15:46,,2020-02-15 09:16:08,2020-02-15 09:18:16
Type 2,2020-02-15 09:17:13,,2020-02-15 09:17:15,2020-02-15 09:18:27
Type 2,2020-02-15 09:15:58,,2020-02-15 09:16:17,2020-02-15 09:18:28
Type 2,2020-02-15 09:15:54,,2020-02-15 09:16:10,2020-02-15 09:18:33
Type 1,2020-02-15 09:16:36,,2020-02-15 09:17:02,2020-02-15 09:18:35
Type 1,2020-02-15 09:17:14,,2020-02-15 09:17:30,2020-02-15 09:18:44
Type 1,2020-02-15 09:15:43,,2020-02-15 09:15:56,2020-02-15 09:18:49
Type 1,2020-02-15 09:17:10,,2020-02-15 09:17:10,2020-02-15 09:18:49
Type 1,2020-02-15 09:17:42,,2020-02-15 09:17:54,2020-02-15 09:18:55
Type 2,2020-02-15 09:18:53,2020-02-15 09:18:56,,
Type 1,2020-02-15 09:17:15,,2020-02-15 09:17:30,2020-02-15 09:19:09
Type 2,2020-02-15 09:19:13,2020-02-15 09:19:16,,
Type 1,2020-02-15 09:19:21,2020-02-15 09:19:36,,
Type 1,2020-02-15 09:17:11,,2020-02-15 09:17:14,2020-02-15 09:19:37
Type 2,2020-02-15 09:15:57,,2020-02-15 09:16:11,2020-02-15 09:19:37
Type 1,2020-02-15 09:14:36,,2020-02-15 09:15:01,2020-02-15 09:19:43
Type 1,2020-02-15 09:19:40,2020-02-15 09:19:45,,
Type 2,2020-02-15 09:16:20,,2020-02-15 09:16:39,2020-02-15 09:19:48
Type 2,2020-02-15 09:17:39,,2020-02-15 09:17:46,2020-02-15 09:19:53
Type 1,2020-02-15 09:17:46,,2020-02-15 09:18:00,2020-02-15 09:19:56
Type 1,2020-02-15 09:19:51,2020-02-15 09:20:05,,
Type 1,2020-02-15 09:18:45,,2020-02-15 09:18:49,2020-02-15 09:20:05
Type 2,2020-02-15 09:18:42,,2020-02-15 09:18:49,2020-02-15 09:20:06
Type 2,2020-02-15 09:18:04,,2020-02-15 09:18:27,2020-02-15 09:20:09
Type 2,2020-02-15 09:16:36,,2020-02-15 09:16:53,2020-02-15 09:20:17
Type 1,2020-02-15 09:18:10,,2020-02-15 09:18:28,2020-02-15 09:20:20
Type 1,2020-02-15 09:18:33,,2020-02-15 09:18:44,2020-02-15 09:20:27
Type 2,2020-02-15 09:18:13,,2020-02-15 09:18:33,2020-02-15 09:20:29
Type 2,2020-02-15 09:17:35,,2020-02-15 09:17:36,2020-02-15 09:20:44
Type 1,2020-02-15 09:18:49,,2020-02-15 09:18:55,2020-02-15 09:20:47
Type 1,2020-02-15 09:20:56,2020-02-15 09:21:00,,
Type 1,2020-02-15 09:20:51,2020-02-15 09:21:16,,
Type 1,2020-02-15 09:19:42,,2020-02-15 09:20:05,2020-02-15 09:21:20
Type 2,2020-02-15 09:19:00,,2020-02-15 09:19:37,2020-02-15 09:21:35
Type 2,2020-02-15 09:19:17,,2020-02-15 09:19:43,2020-02-15 09:21:40
Type 1,2020-02-15 09:19:26,,2020-02-15 09:19:56,2020-02-15 09:21:44
Type 1,2020-02-15 09:19:57,,2020-02-15 09:20:17,2020-02-15 09:21:55
Type 2,2020-02-15 09:17:45,,2020-02-15 09:17:54,2020-02-15 09:21:57
Type 2,2020-02-15 09:19:23,,2020-02-15 09:19:48,2020-02-15 09:22:00
Type 2,2020-02-15 09:18:02,,2020-02-15 09:18:16,2020-02-15 09:22:12
Type 2,2020-02-15 09:18:21,,2020-02-15 09:18:35,2020-02-15 09:22:23
Type 2,2020-02-15 09:19:01,,2020-02-15 09:19:37,2020-02-15 09:22:28
Type 2,2020-02-15 09:17:49,,2020-02-15 09:18:13,2020-02-15 09:22:28
Type 1,2020-02-15 09:20:31,,2020-02-15 09:20:44,2020-02-15 09:22:28
Type 1,2020-02-15 09:22:39,2020-02-15 09:22:42,,
Type 2,2020-02-15 09:22:43,2020-02-15 09:22:51,,
Type 2,2020-02-15 09:22:27,2020-02-15 09:22:54,,
Type 1,2020-02-15 09:21:47,,2020-02-15 09:22:00,2020-02-15 09:23:05
Type 1,2020-02-15 09:19:25,,2020-02-15 09:19:53,2020-02-15 09:23:10
Type 2,2020-02-15 09:20:58,,2020-02-15 09:21:35,2020-02-15 09:23:13
Type 2,2020-02-15 09:21:02,,2020-02-15 09:21:40,2020-02-15 09:23:14
Type 2,2020-02-15 09:18:54,,2020-02-15 09:19:09,2020-02-15 09:23:15
Type 1,2020-02-15 09:20:53,,2020-02-15 09:21:20,2020-02-15 09:23:24
Type 1,2020-02-15 09:21:27,,2020-02-15 09:21:55,2020-02-15 09:23:32
Type 1,2020-02-15 09:19:53,,2020-02-15 09:20:06,2020-02-15 09:23:44
Type 1,2020-02-15 09:21:18,,2020-02-15 09:21:44,2020-02-15 09:23:48
Type 2,2020-02-15 09:23:43,2020-02-15 09:23:49,,
Type 1,2020-02-15 09:22:26,,2020-02-15 09:22:28,2020-02-15 09:24:00
Type 2,2020-02-15 09:20:50,,2020-02-15 09:20:50,2020-02-15 09:24:02
Type 1,2020-02-15 09:22:06,,2020-02-15 09:22:12,2020-02-15 09:24:08
Type 1,2020-02-15 09:19:56,,2020-02-15 09:20:09,2020-02-15 09:24:23
Type 2,2020-02-15 09:20:06,,2020-02-15 09:20:20,2020-02-15 09:24:30
Type 1,2020-02-15 09:22:24,,2020-02-15 09:22:28,2020-02-15 09:24:35
Type 1,2020-02-15 09:22:32,,2020-02-15 09:23:05,2020-02-15 09:24:36
Type 2,2020-02-15 09:22:40,,2020-02-15 09:23:13,2020-02-15 09:24:53
Type 2,2020-02-15 09:20:16,,2020-02-15 09:20:27,2020-02-15 09:24:58
Type 2,2020-02-15 09:20:18,,2020-02-15 09:20:29,2020-02-15 09:24:59
Type 1,2020-02-15 09:23:30,,2020-02-15 09:24:00,2020-02-15 09:25:13
Type 1,2020-02-15 09:23:18,,2020-02-15 09:23:24,2020-02-15 09:25:20
Type 1,2020-02-15 09:22:37,,2020-02-15 09:23:10,2020-02-15 09:25:38
Type 1,2020-02-15 09:23:00,,2020-02-15 09:23:14,2020-02-15 09:25:39
Type 2,2020-02-15 09:21:39,,2020-02-15 09:21:57,2020-02-15 09:25:50
Type 2,2020-02-15 09:23:19,,2020-02-15 09:23:32,2020-02-15 09:25:52
Type 1,2020-02-15 09:24:04,,2020-02-15 09:24:04,2020-02-15 09:25:52
Type 1,2020-02-15 09:24:11,,2020-02-15 09:24:11,2020-02-15 09:25:53
Type 2,2020-02-15 09:25:51,2020-02-15 09:26:01,,
Type 1,2020-02-15 09:25:48,2020-02-15 09:26:05,,
Type 1,2020-02-15 09:23:29,,2020-02-15 09:23:48,2020-02-15 09:26:10
Type 2,2020-02-15 09:25:46,2020-02-15 09:26:13,,
Type 1,2020-02-15 09:24:53,,2020-02-15 09:25:13,2020-02-15 09:26:13
Type 2,2020-02-15 09:22:21,,2020-02-15 09:22:23,2020-02-15 09:26:23
Type 1,2020-02-15 09:26:23,2020-02-15 09:26:24,,
Type 1,2020-02-15 09:24:13,,2020-02-15 09:24:23,2020-02-15 09:26:24
Type 1,2020-02-15 09:24:17,,2020-02-15 09:24:35,2020-02-15 09:26:25
Type 1,2020-02-15 09:24:15,,2020-02-15 09:24:30,2020-02-15 09:26:34
Type 1,2020-02-15 09:24:33,,2020-02-15 09:24:36,2020-02-15 09:26:36
Type 2,2020-02-15 09:26:31,2020-02-15 09:26:39,,
Type 2,2020-02-15 09:22:25,,2020-02-15 09:22:28,2020-02-15 09:26:40
Type 1,2020-02-15 09:24:52,,2020-02-15 09:24:59,2020-02-15 09:26:40
Type 2,2020-02-15 09:23:02,,2020-02-15 09:23:15,2020-02-15 09:26:45
Type 2,2020-02-15 09:25:12,,2020-02-15 09:25:39,2020-02-15 09:26:54
Type 2,2020-02-15 09:25:04,,2020-02-15 09:25:38,2020-02-15 09:27:14
Type 1,2020-02-15 09:27:12,2020-02-15 09:27:20,,
Type 1,2020-02-15 09:25:39,,2020-02-15 09:26:10,2020-02-15 09:27:25
Type 1,2020-02-15 09:27:11,2020-02-15 09:27:33,,
Type 1,2020-02-15 09:25:37,,2020-02-15 09:25:53,2020-02-15 09:27:36
Type 1,2020-02-15 09:27:23,2020-02-15 09:27:38,,
Type 1,2020-02-15 09:26:08,,2020-02-15 09:26:40,2020-02-15 09:27:42
Type 1,2020-02-15 09:25:29,,2020-02-15 09:25:52,2020-02-15 09:27:45
Type 1,2020-02-15 09:23:24,,2020-02-15 09:23:44,2020-02-15 09:27:56
Type 2,2020-02-15 09:24:59,,2020-02-15 09:25:20,2020-02-15 09:28:06
Type 2,2020-02-15 09:24:39,,2020-02-15 09:24:58,2020-02-15 09:28:11
Type 1,2020-02-15 09:25:21,,2020-02-15 09:25:52,2020-02-15 09:28:13
Type 2,2020-02-15 09:25:39,,2020-02-15 09:26:13,2020-02-15 09:28:22
Type 1,2020-02-15 09:28:14,2020-02-15 09:28:32,,
Type 2,2020-02-15 09:26:41,,2020-02-15 09:26:54,2020-02-15 09:28:37
Type 1,2020-02-15 09:25:51,,2020-02-15 09:26:24,2020-02-15 09:28:46
Type 1,2020-02-15 09:24:37,,2020-02-15 09:24:53,2020-02-15 09:28:46
Type 1,2020-02-15 09:27:11,,2020-02-15 09:27:36,2020-02-15 09:28:54
Type 2,2020-02-15 09:25:56,,2020-02-15 09:26:34,2020-02-15 09:28:59
Type 1,2020-02-15 09:29:05,2020-02-15 09:29:09,,
Type 2,2020-02-15 09:26:13,,2020-02-15 09:26:40,2020-02-15 09:29:11
Type 2,2020-02-15 09:25:41,,2020-02-15 09:26:23,2020-02-15 09:29:13
Type 2,2020-02-15 09:25:54,,2020-02-15 09:26:25,2020-02-15 09:29:21
Type 1,2020-02-15 09:27:31,,2020-02-15 09:27:42,2020-02-15 09:29:29
Type 2,2020-02-15 09:25:13,,2020-02-15 09:25:50,2020-02-15 09:29:37
Type 2,2020-02-15 09:27:33,,2020-02-15 09:27:45,2020-02-15 09:29:48
Type 2,2020-02-15 09:27:07,,2020-02-15 09:27:25,2020-02-15 09:29:50
Type 1,2020-02-15 09:27:57,,2020-02-15 09:28:11,2020-02-15 09:29:51
Type 1,2020-02-15 09:27:42,,2020-02-15 09:27:56,2020-02-15 09:30:00
Type 1,2020-02-15 09:29:54,2020-02-15 09:30:06,,
Type 2,2020-02-15 09:28:32,,2020-02-15 09:28:46,2020-02-15 09:30:08
Type 2,2020-02-15 09:25:58,,2020-02-15 09:26:36,2020-02-15 09:30:15
Type 2,2020-02-15 09:30:14,2020-02-15 09:30:18,,
Type 2,2020-02-15 09:30:11,2020-02-15 09:30:24,,
Type 2,2020-02-15 09:29:57,2020-02-15 09:30:30,,
Type 2,2020-02-15 09:26:22,,2020-02-15 09:26:45,2020-02-15 09:30:43
Type 1,2020-02-15 09:28:55,,2020-02-15 09:28:59,2020-02-15 09:30:43
Type 1,2020-02-15 09:30:22,2020-02-15 09:30:54,,
Type 1,2020-02-15 09:28:46,,2020-02-15 09:28:46,2020-02-15 09:30:57
Type 2,2020-02-15 09:28:04,,2020-02-15 09:28:13,2020-02-15 09:31:00
Type 1,2020-02-15 09:29:22,,2020-02-15 09:29:29,2020-02-15 09:31:08
Type 2,2020-02-15 09:27:54,,2020-02-15 09:28:06,2020-02-15 09:31:10
Type 1,2020-02-15 09:28:24,,2020-02-15 09:28:37,2020-02-15 09:31:23
Type 2,2020-02-15 09:28:11,,2020-02-15 09:28:22,2020-02-15 09:31:23
Type 2,2020-02-15 09:29:04,,2020-02-15 09:29:11,2020-02-15 09:31:28
Type 1,2020-02-15 09:29:49,,2020-02-15 09:29:51,2020-02-15 09:31:30
Type 1,2020-02-15 09:29:32,,2020-02-15 09:29:48,2020-02-15 09:31:33
Type 1,2020-02-15 09:29:56,,2020-02-15 09:30:15,2020-02-15 09:31:50
Type 2,2020-02-15 09:29:55,,2020-02-15 09:30:08,2020-02-15 09:31:55
Type 1,2020-02-15 09:26:46,,2020-02-15 09:27:14,2020-02-15 09:32:11
Type 1,2020-02-15 09:30:03,,2020-02-15 09:30:43,2020-02-15 09:32:11
Type 2,2020-02-15 09:32:06,2020-02-15 09:32:17,,
Type 1,2020-02-15 09:32:34,2020-02-15 09:32:38,,
Type 2,2020-02-15 09:29:45,,2020-02-15 09:29:50,2020-02-15 09:32:39
Type 2,2020-02-15 09:32:32,2020-02-15 09:32:39,,
Type 1,2020-02-15 09:30:57,,2020-02-15 09:31:08,2020-02-15 09:32:41
Type 1,2020-02-15 09:32:30,2020-02-15 09:32:42,,
Type 2,2020-02-15 09:29:18,,2020-02-15 09:29:21,2020-02-15 09:32:53
Type 1,2020-02-15 09:30:10,,2020-02-15 09:30:43,2020-02-15 09:32:55
Type 1,2020-02-15 09:31:07,,2020-02-15 09:31:10,2020-02-15 09:32:57
Type 2,2020-02-15 09:32:49,2020-02-15 09:33:03,,
Type 1,2020-02-15 09:32:33,2020-02-15 09:33:04,,
Type 1,2020-02-15 09:31:36,,2020-02-15 09:31:36,2020-02-15 09:33:05
Type 2,2020-02-15 09:30:56,,2020-02-15 09:31:00,2020-02-15 09:33:12
Type 1,2020-02-15 09:31:55,,2020-02-15 09:31:55,2020-02-15 09:33:15
Type 2,2020-02-15 09:31:54,,2020-02-15 09:31:54,2020-02-15 09:33:20
Type 2,2020-02-15 09:31:55,,2020-02-15 09:31:55,2020-02-15 09:33:22
Type 1,2020-02-15 09:31:43,,2020-02-15 09:31:43,2020-02-15 09:33:23
Type 2,2020-02-15 09:28:51,,2020-02-15 09:28:54,2020-02-15 09:33:23
