asset,start,end
X,3/01/2020 1:10,3/01/2020 2:06
Z,3/01/2020 2:12,3/01/2020 3:08
X,3/01/2020 2:52,3/01/2020 4:15
X,3/01/2020 4:28,3/01/2020 5:25
Z,3/01/2020 4:34,3/01/2020 5:33
X,3/01/2020 5:36,3/01/2020 6:14
Z,3/01/2020 6:02,3/01/2020 6:51
Z,3/01/2020 7:15,3/01/2020 8:14
Z,3/01/2020 8:26,3/01/2020 9:23
X,3/01/2020 8:31,3/01/2020 9:28
X,3/01/2020 11:00,3/01/2020 11:59
X,3/01/2020 12:35,3/01/2020 13:31
Z,3/01/2020 14:06,3/01/2020 15:02
X,3/01/2020 15:15,3/01/2020 16:14
Z,3/01/2020 15:51,3/01/2020 16:41
Z,3/01/2020 17:18,3/01/2020 18:17
X,3/01/2020 17:56,3/01/2020 18:21
X,3/01/2020 18:32,3/01/2020 19:31
Z,3/01/2020 19:12,3/01/2020 20:01
X,3/01/2020 19:45,3/01/2020 20:41
X,3/01/2020 20:52,3/01/2020 21:31
Z,3/01/2020 21:44,3/01/2020 22:33
X,3/01/2020 21:50,3/01/2020 22:04
X,3/01/2020 22:23,3/01/2020 23:13
Z,3/01/2020 23:22,4/01/2020 0:19
X,3/01/2020 23:46,4/01/2020 0:08
Z,4/01/2020 1:08,4/01/2020 2:04
X,4/01/2020 1:14,4/01/2020 2:11
X,4/01/2020 2:22,4/01/2020 3:21
Z,4/01/2020 2:28,4/01/2020 3:24
Z,4/01/2020 3:39,4/01/2020 4:28
X,4/01/2020 3:47,4/01/2020 4:43
Z,4/01/2020 4:47,4/01/2020 5:44
X,4/01/2020 5:10,4/01/2020 6:06
Z,4/01/2020 6:04,4/01/2020 6:53
X,4/01/2020 6:17,4/01/2020 7:13
X,4/01/2020 7:33,4/01/2020 8:32
Z,4/01/2020 8:00,4/01/2020 8:57
X,4/01/2020 8:43,4/01/2020 9:39
Z,4/01/2020 9:50,4/01/2020 10:46
X,4/01/2020 9:51,4/01/2020 10:47
Z,4/01/2020 10:58,4/01/2020 11:57
X,4/01/2020 11:39,4/01/2020 12:38
Z,4/01/2020 12:35,4/01/2020 13:32
X,4/01/2020 13:11,4/01/2020 14:08
Z,4/01/2020 14:07,4/01/2020 15:03
Z,4/01/2020 15:16,4/01/2020 16:05
X,4/01/2020 15:23,4/01/2020 16:19
X,4/01/2020 16:30,4/01/2020 17:26
Z,4/01/2020 16:30,4/01/2020 17:27
X,4/01/2020 17:50,4/01/2020 18:49
Z,4/01/2020 18:03,4/01/2020 18:42
Z,4/01/2020 19:06,4/01/2020 20:03
X,4/01/2020 19:43,4/01/2020 20:42
Z,4/01/2020 21:03,4/01/2020 22:00
X,4/01/2020 21:34,4/01/2020 22:31
Z,4/01/2020 22:11,4/01/2020 23:00
X,4/01/2020 22:42,4/01/2020 23:39
Z,4/01/2020 23:26,5/01/2020 0:05
Z,5/01/2020 0:16,5/01/2020 1:13
X,5/01/2020 1:07,5/01/2020 2:03
Z,5/01/2020 1:29,5/01/2020 2:25
X,5/01/2020 2:15,5/01/2020 3:04
X,5/01/2020 3:23,5/01/2020 4:22
Z,5/01/2020 3:33,5/01/2020 4:29
X,5/01/2020 4:36,5/01/2020 5:25
X,5/01/2020 5:40,5/01/2020 6:36
Z,5/01/2020 5:49,5/01/2020 6:46
X,5/01/2020 7:04,5/01/2020 8:00
Z,5/01/2020 7:15,5/01/2020 8:12
Y,5/01/2020 7:54,5/01/2020 9:12
X,5/01/2020 8:14,5/01/2020 9:03
Y,5/01/2020 9:25,5/01/2020 9:40
X,5/01/2020 9:33,5/01/2020 10:29
Y,5/01/2020 10:07,5/01/2020 11:04
Z,5/01/2020 11:15,5/01/2020 12:12
X,5/01/2020 12:12,5/01/2020 13:08
Y,5/01/2020 13:10,5/01/2020 13:25
Z,5/01/2020 13:14,5/01/2020 14:11
X,5/01/2020 13:24,5/01/2020 14:23
Y,5/01/2020 14:29,5/01/2020 15:25
X,5/01/2020 14:50,5/01/2020 15:39
Z,5/01/2020 15:44,5/01/2020 16:40
X,5/01/2020 15:58,5/01/2020 16:47
Z,5/01/2020 16:58,5/01/2020 17:48
X,5/01/2020 16:59,5/01/2020 17:48
Y,5/01/2020 17:18,5/01/2020 18:15
X,5/01/2020 18:00,5/01/2020 18:50
Z,5/01/2020 18:07,5/01/2020 19:03
Y,5/01/2020 19:18,5/01/2020 19:43
Z,5/01/2020 19:21,5/01/2020 20:18
Y,5/01/2020 20:06,5/01/2020 21:03
X,5/01/2020 21:20,5/01/2020 22:19
Y,5/01/2020 21:58,5/01/2020 22:47
Z,5/01/2020 22:33,5/01/2020 23:29
X,5/01/2020 22:42,5/01/2020 23:20
Y,5/01/2020 23:22,6/01/2020 0:21
X,5/01/2020 23:43,6/01/2020 0:39
Z,6/01/2020 0:38,6/01/2020 1:35
Y,6/01/2020 1:07,6/01/2020 1:57
X,6/01/2020 1:32,6/01/2020 2:31
Y,6/01/2020 2:19,6/01/2020 3:15
Z,6/01/2020 2:50,6/01/2020 3:28
X,6/01/2020 3:00,6/01/2020 3:57
Y,6/01/2020 3:27,6/01/2020 4:23
Z,6/01/2020 3:44,6/01/2020 4:41
X,6/01/2020 4:23,6/01/2020 5:19
Y,6/01/2020 4:34,6/01/2020 5:23
Z,6/01/2020 5:01,6/01/2020 5:57
X,6/01/2020 5:39,6/01/2020 6:36
Y,6/01/2020 5:44,6/01/2020 5:58
Y,6/01/2020 6:29,6/01/2020 7:18
X,6/01/2020 6:47,6/01/2020 7:46
Y,6/01/2020 7:44,6/01/2020 8:34
X,6/01/2020 8:18,6/01/2020 9:14
Z,6/01/2020 8:21,6/01/2020 9:17
Y,6/01/2020 9:07,6/01/2020 10:06
Z,6/01/2020 9:39,6/01/2020 10:35
X,6/01/2020 9:41,6/01/2020 10:30
Y,6/01/2020 10:31,6/01/2020 10:52
X,6/01/2020 10:46,6/01/2020 11:45
Y,6/01/2020 11:53,6/01/2020 12:52
Z,6/01/2020 11:56,6/01/2020 12:52
X,6/01/2020 12:08,6/01/2020 12:57
Z,6/01/2020 13:15,6/01/2020 14:12
X,6/01/2020 13:23,6/01/2020 14:19
Y,6/01/2020 13:27,6/01/2020 14:24
Z,6/01/2020 14:44,6/01/2020 15:40
X,6/01/2020 14:45,6/01/2020 15:41
Y,6/01/2020 14:59,6/01/2020 15:55
X,6/01/2020 16:15,6/01/2020 17:14
Y,6/01/2020 16:18,6/01/2020 17:14
Z,6/01/2020 17:32,6/01/2020 18:59
X,6/01/2020 17:37,6/01/2020 18:36
Y,6/01/2020 18:44,6/01/2020 19:33
X,6/01/2020 18:59,6/01/2020 19:48
Z,6/01/2020 19:15,6/01/2020 20:11
Y,6/01/2020 20:08,6/01/2020 21:05
X,6/01/2020 20:15,6/01/2020 20:54
X,6/01/2020 21:35,6/01/2020 22:34
Z,6/01/2020 21:39,6/01/2020 22:00
Y,6/01/2020 21:51,6/01/2020 22:39
Z,6/01/2020 22:27,6/01/2020 22:41
Y,6/01/2020 22:51,6/01/2020 23:47
Z,6/01/2020 23:29,7/01/2020 0:25
X,6/01/2020 23:36,7/01/2020 0:25
Y,7/01/2020 0:35,7/01/2020 0:59
Z,7/01/2020 0:45,7/01/2020 1:41
X,7/01/2020 1:04,7/01/2020 2:01
Y,7/01/2020 1:43,7/01/2020 2:42
Z,7/01/2020 2:04,7/01/2020 3:00
Y,7/01/2020 3:07,7/01/2020 4:06
Z,7/01/2020 3:35,7/01/2020 4:31
X,7/01/2020 3:54,7/01/2020 4:53
Z,7/01/2020 5:01,7/01/2020 6:10
Y,7/01/2020 5:04,7/01/2020 6:03
X,7/01/2020 5:09,7/01/2020 6:05
Y,7/01/2020 6:23,7/01/2020 6:38
Z,7/01/2020 7:15,7/01/2020 8:11
Y,7/01/2020 7:35,7/01/2020 8:31
X,7/01/2020 7:48,7/01/2020 8:45
Z,7/01/2020 8:30,7/01/2020 9:27
Y,7/01/2020 9:23,7/01/2020 10:12
Y,7/01/2020 10:23,7/01/2020 11:22
Z,7/01/2020 10:39,7/01/2020 11:35
X,7/01/2020 10:42,7/01/2020 11:31
X,7/01/2020 11:54,7/01/2020 12:51
Y,7/01/2020 11:54,7/01/2020 12:15
Z,7/01/2020 11:54,7/01/2020 12:54
Y,7/01/2020 13:01,7/01/2020 13:50
X,7/01/2020 13:06,7/01/2020 14:05
Z,7/01/2020 13:14,7/01/2020 13:39
Z,7/01/2020 14:14,7/01/2020 15:11
Y,7/01/2020 14:18,7/01/2020 15:17
X,7/01/2020 14:39,7/01/2020 15:35
Z,7/01/2020 15:22,7/01/2020 16:18
Y,7/01/2020 15:29,7/01/2020 15:43
X,7/01/2020 15:51,7/01/2020 16:50
Y,7/01/2020 16:12,7/01/2020 17:08
Z,7/01/2020 16:58,7/01/2020 17:58
Y,7/01/2020 17:19,7/01/2020 17:34
Y,7/01/2020 17:57,7/01/2020 18:54
Z,7/01/2020 18:12,7/01/2020 19:00
X,7/01/2020 18:40,7/01/2020 19:05
Z,7/01/2020 19:14,7/01/2020 20:13
Y,7/01/2020 19:42,7/01/2020 20:31
X,7/01/2020 19:50,7/01/2020 20:50
Z,7/01/2020 20:27,7/01/2020 21:16
Y,7/01/2020 20:42,7/01/2020 21:41
X,7/01/2020 21:39,7/01/2020 22:38
Y,7/01/2020 22:00,7/01/2020 22:57
Z,7/01/2020 22:43,7/01/2020 23:32
Y,7/01/2020 23:25,8/01/2020 0:25
X,7/01/2020 23:50,8/01/2020 0:46
Y,8/01/2020 0:42,8/01/2020 1:39
X,8/01/2020 1:12,8/01/2020 2:08
Z,8/01/2020 1:28,8/01/2020 2:25
Y,8/01/2020 2:12,8/01/2020 2:27
Z,8/01/2020 2:36,8/01/2020 3:25
Y,8/01/2020 2:43,8/01/2020 2:58
X,8/01/2020 3:11,8/01/2020 4:07
Y,8/01/2020 3:24,8/01/2020 3:45
Z,8/01/2020 4:01,8/01/2020 4:51
Y,8/01/2020 4:05,8/01/2020 4:26
X,8/01/2020 4:23,8/01/2020 5:19
X,8/01/2020 5:30,8/01/2020 6:26
Z,8/01/2020 5:40,8/01/2020 6:36
X,8/01/2020 6:41,8/01/2020 7:41
Y,8/01/2020 6:56,8/01/2020 7:52
Z,8/01/2020 7:07,8/01/2020 8:04
Z,8/01/2020 8:16,8/01/2020 9:13
X,8/01/2020 8:34,8/01/2020 9:30
Y,8/01/2020 9:13,8/01/2020 10:01
X,8/01/2020 9:41,8/01/2020 10:30
Y,8/01/2020 10:19,8/01/2020 11:16
Z,8/01/2020 10:34,8/01/2020 11:33
X,8/01/2020 11:26,8/01/2020 12:25
Z,8/01/2020 12:03,8/01/2020 12:59
Y,8/01/2020 12:04,8/01/2020 12:53
Y,8/01/2020 13:39,8/01/2020 14:35
X,8/01/2020 13:56,8/01/2020 14:55
Z,8/01/2020 14:42,8/01/2020 15:38
Y,8/01/2020 14:52,8/01/2020 15:17
Y,8/01/2020 15:28,8/01/2020 16:17
X,8/01/2020 15:39,8/01/2020 16:28
Z,8/01/2020 16:25,8/01/2020 17:15
X,8/01/2020 17:10,8/01/2020 17:25
Y,8/01/2020 17:13,8/01/2020 18:09
Z,8/01/2020 17:26,8/01/2020 18:22
X,8/01/2020 18:13,8/01/2020 19:12
Y,8/01/2020 18:30,8/01/2020 19:26
Z,8/01/2020 19:44,8/01/2020 20:41
X,8/01/2020 20:02,8/01/2020 20:52
Y,8/01/2020 20:20,8/01/2020 21:09
X,8/01/2020 21:03,8/01/2020 21:53
Z,8/01/2020 21:06,8/01/2020 22:05
Y,8/01/2020 21:54,8/01/2020 22:43
Y,8/01/2020 23:09,9/01/2020 0:06
X,8/01/2020 23:14,9/01/2020 0:11
Z,8/01/2020 23:16,9/01/2020 0:13
X,9/01/2020 0:22,9/01/2020 1:11
Y,9/01/2020 0:33,9/01/2020 1:29
Z,9/01/2020 1:27,9/01/2020 2:23
X,9/01/2020 1:29,9/01/2020 2:25
X,9/01/2020 2:36,9/01/2020 3:33
Z,9/01/2020 2:54,9/01/2020 3:50
Y,9/01/2020 3:27,9/01/2020 4:26
X,9/01/2020 4:06,9/01/2020 4:44
Z,9/01/2020 4:34,9/01/2020 5:31
Y,9/01/2020 4:37,9/01/2020 5:27
X,9/01/2020 4:57,9/01/2020 5:35
Y,9/01/2020 6:06,9/01/2020 7:03
X,9/01/2020 6:25,9/01/2020 7:21
Z,9/01/2020 7:04,9/01/2020 8:00
Z,9/01/2020 8:12,9/01/2020 9:08
X,9/01/2020 8:37,9/01/2020 9:26
Y,9/01/2020 8:42,9/01/2020 9:41
Z,9/01/2020 9:34,9/01/2020 10:31
Y,9/01/2020 9:52,9/01/2020 10:49
X,9/01/2020 9:59,9/01/2020 10:55
Z,9/01/2020 10:46,9/01/2020 11:42
X,9/01/2020 11:23,9/01/2020 11:38
X,9/01/2020 11:54,9/01/2020 12:43
Z,9/01/2020 12:03,9/01/2020 13:07
Y,9/01/2020 12:44,9/01/2020 13:43
X,9/01/2020 13:42,9/01/2020 14:31
Z,9/01/2020 13:45,9/01/2020 14:41
Y,9/01/2020 14:14,9/01/2020 14:35
Z,9/01/2020 15:11,9/01/2020 16:07
Y,9/01/2020 15:48,9/01/2020 16:47
X,9/01/2020 16:15,9/01/2020 17:14
Z,9/01/2020 16:18,9/01/2020 17:14
Y,9/01/2020 17:20,9/01/2020 18:17
Z,9/01/2020 17:38,9/01/2020 18:27
X,9/01/2020 18:03,9/01/2020 19:00
Y,9/01/2020 18:58,9/01/2020 19:23
X,9/01/2020 19:16,9/01/2020 19:55
Z,9/01/2020 19:28,9/01/2020 20:28
Y,9/01/2020 19:36,9/01/2020 20:32
X,9/01/2020 20:25,9/01/2020 21:24
Z,9/01/2020 20:56,9/01/2020 21:53
Y,9/01/2020 21:07,9/01/2020 22:04
X,9/01/2020 21:36,9/01/2020 22:32
Y,9/01/2020 22:24,9/01/2020 23:13
Z,9/01/2020 22:45,9/01/2020 23:44
X,9/01/2020 23:50,10/01/2020 0:46
Z,9/01/2020 23:55,10/01/2020 0:54
Y,10/01/2020 0:43,10/01/2020 1:42
X,10/01/2020 1:04,10/01/2020 2:00
Y,10/01/2020 1:53,10/01/2020 2:50
Z,10/01/2020 1:54,10/01/2020 2:32
Y,10/01/2020 3:06,10/01/2020 4:05
Z,10/01/2020 4:16,10/01/2020 4:41
Y,10/01/2020 4:40,10/01/2020 5:36
Z,10/01/2020 5:36,10/01/2020 6:15
Y,10/01/2020 6:05,10/01/2020 7:02
X,10/01/2020 6:43,10/01/2020 7:33
Z,10/01/2020 6:51,10/01/2020 7:16
Y,10/01/2020 7:13,10/01/2020 8:12
X,10/01/2020 8:11,10/01/2020 9:10
Y,10/01/2020 8:23,10/01/2020 9:19
Z,10/01/2020 8:37,10/01/2020 9:34
X,10/01/2020 9:43,10/01/2020 10:39
Z,10/01/2020 10:11,10/01/2020 11:11
X,10/01/2020 11:10,10/01/2020 12:06
Z,10/01/2020 11:34,10/01/2020 12:33
Y,10/01/2020 12:25,10/01/2020 13:21
Z,10/01/2020 12:44,10/01/2020 13:40
X,10/01/2020 13:01,10/01/2020 13:16
Z,10/01/2020 13:51,10/01/2020 14:06
Y,10/01/2020 13:56,10/01/2020 14:52
X,10/01/2020 14:12,10/01/2020 15:11
Z,10/01/2020 14:52,10/01/2020 15:13
Y,10/01/2020 15:11,10/01/2020 16:00
Z,10/01/2020 15:49,10/01/2020 16:45
X,10/01/2020 16:18,10/01/2020 17:17
Y,10/01/2020 16:28,10/01/2020 17:24
Z,10/01/2020 16:56,10/01/2020 17:35
Y,10/01/2020 17:53,10/01/2020 19:34
Z,10/01/2020 18:49,10/01/2020 19:45
X,10/01/2020 19:20,10/01/2020 20:16
Y,10/01/2020 19:45,10/01/2020 20:41
Z,10/01/2020 19:56,10/01/2020 20:11
X,10/01/2020 20:35,10/01/2020 21:32
Z,10/01/2020 21:42,10/01/2020 22:38
X,10/01/2020 21:48,10/01/2020 22:47
Y,10/01/2020 22:01,10/01/2020 22:40
Z,10/01/2020 22:57,10/01/2020 23:53
Y,10/01/2020 23:08,10/01/2020 23:58
X,10/01/2020 23:13,11/01/2020 0:12
Z,11/01/2020 0:04,11/01/2020 1:01
Y,11/01/2020 0:09,11/01/2020 0:58
Y,11/01/2020 1:20,11/01/2020 2:17
Z,11/01/2020 1:20,11/01/2020 2:19
X,11/01/2020 1:49,11/01/2020 2:04
Y,11/01/2020 2:39,11/01/2020 3:35
Z,11/01/2020 3:04,11/01/2020 4:00
X,11/01/2020 3:08,11/01/2020 3:46
X,11/01/2020 3:58,11/01/2020 4:54
Y,11/01/2020 3:58,11/01/2020 4:55
Z,11/01/2020 4:12,11/01/2020 5:11
X,11/01/2020 5:11,11/01/2020 6:10
Y,11/01/2020 5:21,11/01/2020 6:20
Z,11/01/2020 5:52,11/01/2020 6:13
Y,11/01/2020 6:47,11/01/2020 7:46
Z,11/01/2020 7:43,11/01/2020 8:39
X,11/01/2020 8:01,11/01/2020 9:00
Y,11/01/2020 8:27,11/01/2020 9:23
Z,11/01/2020 8:50,11/01/2020 9:47
X,11/01/2020 9:11,11/01/2020 10:10
Y,11/01/2020 9:34,11/01/2020 10:30
Z,11/01/2020 10:18,11/01/2020 10:39
Y,11/01/2020 10:41,11/01/2020 11:38
X,11/01/2020 11:23,11/01/2020 12:13
Z,11/01/2020 11:46,11/01/2020 12:10
Y,11/01/2020 12:09,11/01/2020 13:05
Z,11/01/2020 13:16,11/01/2020 14:12
X,11/01/2020 13:43,11/01/2020 14:42
Y,11/01/2020 14:07,11/01/2020 15:04
Z,11/01/2020 14:49,11/01/2020 15:48
X,11/01/2020 15:23,11/01/2020 16:20
Z,11/01/2020 16:32,11/01/2020 16:57
X,11/01/2020 16:37,11/01/2020 17:36
Y,11/01/2020 17:03,11/01/2020 18:00
Z,11/01/2020 17:43,11/01/2020 18:39
X,11/01/2020 17:47,11/01/2020 18:46
Y,11/01/2020 18:36,11/01/2020 19:35
Z,11/01/2020 19:00,11/01/2020 19:59
X,11/01/2020 19:51,11/01/2020 20:41
Y,11/01/2020 19:54,11/01/2020 20:19
Y,11/01/2020 20:42,11/01/2020 21:21
Z,11/01/2020 20:44,11/01/2020 21:06
Y,11/01/2020 21:32,11/01/2020 22:21
X,11/01/2020 21:53,11/01/2020 22:43
Y,11/01/2020 22:32,11/01/2020 23:31
Z,11/01/2020 22:33,11/01/2020 23:30
X,11/01/2020 23:36,12/01/2020 0:33
Y,12/01/2020 0:13,12/01/2020 1:13
Z,12/01/2020 0:58,12/01/2020 1:47
Y,12/01/2020 1:24,12/01/2020 2:02
X,12/01/2020 1:32,12/01/2020 2:29
Z,12/01/2020 2:21,12/01/2020 3:10
Y,12/01/2020 2:23,12/01/2020 3:13
Y,12/01/2020 3:28,12/01/2020 4:17
Z,12/01/2020 3:41,12/01/2020 4:38
Y,12/01/2020 5:00,12/01/2020 5:57
Z,12/01/2020 5:31,12/01/2020 6:28
X,12/01/2020 6:23,12/01/2020 7:22
Z,12/01/2020 6:59,12/01/2020 7:55
Y,12/01/2020 7:36,12/01/2020 8:25
X,12/01/2020 7:40,12/01/2020 8:37
Z,12/01/2020 8:06,12/01/2020 9:02
X,12/01/2020 8:52,12/01/2020 9:42
Z,12/01/2020 9:13,12/01/2020 10:12
Y,12/01/2020 9:15,12/01/2020 10:14
X,12/01/2020 9:53,12/01/2020 10:52
Z,12/01/2020 10:44,12/01/2020 11:40
X,12/01/2020 11:10,12/01/2020 12:07
Z,12/01/2020 11:53,12/01/2020 12:50
Y,12/01/2020 12:16,12/01/2020 13:05
X,12/01/2020 12:18,12/01/2020 13:17
Z,12/01/2020 13:01,12/01/2020 13:57
Y,12/01/2020 13:37,12/01/2020 14:33
X,12/01/2020 13:51,12/01/2020 14:40
Z,12/01/2020 14:08,12/01/2020 14:57
Y,12/01/2020 14:45,12/01/2020 15:44
X,12/01/2020 15:22,12/01/2020 16:18
Y,12/01/2020 16:01,12/01/2020 16:57
Z,12/01/2020 16:13,12/01/2020 17:10
X,12/01/2020 16:53,12/01/2020 17:49
Y,12/01/2020 17:35,12/01/2020 18:31
Z,12/01/2020 17:42,12/01/2020 18:38
X,12/01/2020 18:04,12/01/2020 18:53
Z,12/01/2020 18:49,12/01/2020 19:48
X,12/01/2020 19:10,12/01/2020 20:06
Y,12/01/2020 19:33,12/01/2020 20:30
Z,12/01/2020 20:08,12/01/2020 20:33
X,12/01/2020 20:23,12/01/2020 21:22
Y,12/01/2020 20:47,12/01/2020 21:43
Z,12/01/2020 21:04,12/01/2020 22:00
Z,12/01/2020 22:11,12/01/2020 23:10
X,12/01/2020 22:13,12/01/2020 23:14
Y,12/01/2020 22:51,12/01/2020 23:39
Z,12/01/2020 23:30,13/01/2020 0:26
X,12/01/2020 23:37,13/01/2020 0:33
Z,13/01/2020 0:45,13/01/2020 1:42
Y,13/01/2020 1:35,13/01/2020 2:31
X,13/01/2020 1:39,13/01/2020 2:36
Z,13/01/2020 2:49,13/01/2020 3:45
Y,13/01/2020 3:07,13/01/2020 3:57
Z,13/01/2020 3:56,13/01/2020 4:55
Y,13/01/2020 4:09,13/01/2020 5:08
X,13/01/2020 4:55,13/01/2020 5:54
Z,13/01/2020 5:06,13/01/2020 6:02
Y,13/01/2020 5:32,13/01/2020 6:28
Z,13/01/2020 6:13,13/01/2020 7:10
Y,13/01/2020 6:39,13/01/2020 7:36
X,13/01/2020 6:41,13/01/2020 7:37
Z,13/01/2020 7:41,13/01/2020 8:06
Y,13/01/2020 7:47,13/01/2020 8:25
X,13/01/2020 7:49,13/01/2020 8:45
Z,13/01/2020 8:20,13/01/2020 9:17
Y,13/01/2020 8:51,13/01/2020 9:50
X,13/01/2020 9:29,13/01/2020 10:28
Z,13/01/2020 9:33,13/01/2020 10:29
Y,13/01/2020 10:49,13/01/2020 11:46
Z,13/01/2020 10:56,13/01/2020 11:52
X,13/01/2020 11:42,13/01/2020 12:41
Y,13/01/2020 12:16,13/01/2020 13:05
Z,13/01/2020 13:23,13/01/2020 14:20
Y,13/01/2020 14:38,13/01/2020 15:27
X,13/01/2020 14:41,13/01/2020 15:30
Z,13/01/2020 15:04,13/01/2020 16:03
X,13/01/2020 15:47,13/01/2020 16:43
Z,13/01/2020 16:43,13/01/2020 17:40
Y,13/01/2020 16:46,13/01/2020 17:45
X,13/01/2020 17:01,13/01/2020 17:58
Z,13/01/2020 17:51,13/01/2020 18:47
X,13/01/2020 18:10,13/01/2020 18:59
Y,13/01/2020 18:22,13/01/2020 19:19
Y,13/01/2020 19:30,13/01/2020 20:29
X,13/01/2020 19:45,13/01/2020 20:42
Y,13/01/2020 20:40,13/01/2020 21:36
Z,13/01/2020 20:48,13/01/2020 21:47
X,13/01/2020 21:02,13/01/2020 21:41
X,13/01/2020 22:07,13/01/2020 23:04
Y,13/01/2020 22:07,13/01/2020 22:45
Z,13/01/2020 22:23,13/01/2020 23:19
Y,13/01/2020 23:02,13/01/2020 23:59
X,13/01/2020 23:33,14/01/2020 0:33
Z,13/01/2020 23:34,14/01/2020 0:31
X,14/01/2020 0:56,14/01/2020 1:45
Z,14/01/2020 1:49,14/01/2020 2:48
X,14/01/2020 1:56,14/01/2020 2:52
Y,14/01/2020 2:02,14/01/2020 2:58
Z,14/01/2020 3:10,14/01/2020 4:06
X,14/01/2020 3:44,14/01/2020 4:33
Y,14/01/2020 3:54,14/01/2020 4:53
Z,14/01/2020 5:11,14/01/2020 6:08
Y,14/01/2020 5:14,14/01/2020 6:03
X,14/01/2020 5:49,14/01/2020 6:45
Y,14/01/2020 6:23,14/01/2020 7:12
Z,14/01/2020 6:34,14/01/2020 7:30
Y,14/01/2020 7:25,14/01/2020 8:21
X,14/01/2020 7:27,14/01/2020 8:24
Z,14/01/2020 8:10,14/01/2020 9:07
Z,14/01/2020 9:18,14/01/2020 10:14
X,14/01/2020 9:29,14/01/2020 10:25
Y,14/01/2020 10:03,14/01/2020 10:52
X,14/01/2020 10:51,14/01/2020 11:47
Y,14/01/2020 11:03,14/01/2020 11:59
Z,14/01/2020 11:27,14/01/2020 13:15
Y,14/01/2020 12:19,14/01/2020 13:08
X,14/01/2020 12:40,14/01/2020 13:36
Z,14/01/2020 13:30,14/01/2020 14:26
X,14/01/2020 13:53,14/01/2020 14:52
Y,14/01/2020 14:13,14/01/2020 15:02
Z,14/01/2020 14:40,14/01/2020 15:36
Y,14/01/2020 15:14,14/01/2020 16:10
X,14/01/2020 15:27,14/01/2020 16:20
Z,14/01/2020 15:50,14/01/2020 16:46
X,14/01/2020 16:27,14/01/2020 17:39
Z,14/01/2020 17:02,14/01/2020 17:59
X,14/01/2020 18:00,14/01/2020 18:25
Y,14/01/2020 18:14,14/01/2020 19:03
X,14/01/2020 19:22,14/01/2020 20:18
Y,14/01/2020 19:38,14/01/2020 20:34
Z,14/01/2020 19:57,14/01/2020 21:11
Y,14/01/2020 21:39,14/01/2020 22:38
Z,14/01/2020 21:44,14/01/2020 22:34
X,14/01/2020 22:09,14/01/2020 23:03
Z,14/01/2020 22:45,14/01/2020 23:41
