check_in,check_out,adults,children,reserved_room_type,assigned_room_type
2015-12-30 14:23:00,2016-01-04 09:42:00,0,0,A,A
2015-12-30 16:31:00,2016-01-02 09:25:00,2,2,C,C
2015-12-30 16:00:00,2016-01-03 06:51:00,2,0,A,A
2015-12-30 15:33:00,2016-01-03 08:50:00,2,0,A,A
2015-12-30 16:07:00,2016-01-03 09:39:00,2,0,A,A
2015-12-30 18:16:00,2016-01-03 08:48:00,2,0,A,E
2015-12-30 16:25:00,2016-01-03 09:42:00,2,0,A,C
2015-12-30 18:54:00,2016-01-03 07:17:00,2,0,A,A
2015-12-30 15:18:00,2016-01-03 09:05:00,2,0,A,A
2015-12-30 17:49:00,2016-01-03 09:24:00,1,0,A,A
2015-12-30 14:33:00,2016-01-03 09:25:00,2,0,A,A
2015-12-30 14:39:00,2016-01-03 08:50:00,2,0,A,C
2015-12-30 15:27:00,2016-01-03 08:39:00,2,0,A,D
2015-12-30 16:14:00,2016-01-03 10:04:00,2,0,A,A
2015-12-30 16:05:00,2016-01-03 07:06:00,2,0,A,A
2015-12-30 15:22:00,2016-01-03 09:57:00,1,0,A,A
2015-12-30 14:25:00,2016-01-03 07:33:00,1,0,A,B
2015-12-30 15:42:00,2016-01-03 07:32:00,2,0,A,C
2015-12-30 17:02:00,2016-01-03 08:11:00,2,0,A,D
2015-12-30 19:30:00,2016-01-03 08:32:00,1,0,A,A
2015-12-30 18:48:00,2016-01-03 08:52:00,1,0,A,A
2015-12-30 14:02:00,2016-01-05 08:22:00,0,0,A,C
2015-12-31 16:01:00,2016-01-01 09:23:00,2,0,E,F
2015-12-31 14:24:00,2016-01-02 09:52:00,2,0,A,A
2015-12-31 16:40:00,2016-01-02 08:15:00,2,0,A,A
2015-12-31 14:02:00,2016-01-02 08:09:00,2,1,G,G
2015-12-31 14:11:00,2016-01-02 09:19:00,3,0,A,D
2015-12-31 15:10:00,2016-01-03 09:21:00,2,0,D,D
2015-12-31 15:48:00,2016-01-03 08:28:00,2,1,D,D
2015-12-31 19:35:00,2016-01-03 09:10:00,2,1,A,A
2015-12-31 14:23:00,2016-01-03 09:02:00,2,0,D,D
2015-12-31 18:00:00,2016-01-03 09:54:00,2,0,E,E
2015-12-31 16:25:00,2016-01-03 09:52:00,2,1,D,D
2015-12-31 18:40:00,2016-01-03 09:13:00,2,0,D,D
2015-12-31 14:58:00,2016-01-07 08:42:00,2,0,A,A
2015-12-31 18:11:00,2016-01-07 08:12:00,2,0,A,A
2015-12-31 15:45:00,2016-01-07 09:54:00,2,0,A,A
2016-01-01 16:55:00,2016-01-02 08:40:00,2,0,A,D
2016-01-01 15:00:00,2016-01-02 09:35:00,2,2,H,H
2016-01-01 15:47:00,2016-01-03 08:52:00,2,0,A,D
2016-01-01 14:49:00,2016-01-03 10:51:00,2,1,A,D
2016-01-02 14:04:00,2016-01-09 09:49:00,2,0,D,E
2016-01-06 18:20:00,2016-01-07 09:08:00,2,0,A,A
2016-01-06 14:50:00,2016-01-10 06:55:00,2,0,D,D
2016-01-06 14:39:00,2016-01-10 08:23:00,2,0,D,D
2016-01-08 18:05:00,2016-01-10 09:44:00,2,0,A,A
2016-01-08 17:14:00,2016-01-12 09:20:00,2,0,D,D
2016-01-08 14:50:00,2016-01-13 09:07:00,2,0,E,E
2016-01-09 14:09:00,2016-01-23 06:32:00,2,0,A,A
2016-01-12 17:00:00,2016-02-09 07:24:00,2,0,A,A
2016-01-14 20:14:00,2016-01-15 07:43:00,2,0,E,E
2016-01-22 15:45:00,2016-01-24 09:38:00,2,0,E,E
2016-01-25 17:42:00,2016-01-29 08:53:00,2,0,E,E
2016-01-26 15:18:00,2016-01-27 08:22:00,2,0,A,D
2016-01-26 17:57:00,2016-03-08 08:52:00,2,0,D,D
2016-01-26 16:19:00,2016-01-27 09:16:00,2,0,A,D
2016-01-29 15:36:00,2016-01-30 07:56:00,2,0,G,G
2016-02-01 15:03:00,2016-02-02 08:59:00,1,0,A,D
2016-02-01 14:14:00,2016-02-08 08:41:00,2,0,A,A
2016-02-03 14:47:00,2016-02-07 09:18:00,2,0,F,F
2016-02-03 14:55:00,2016-02-07 08:04:00,2,0,F,F
2016-02-05 17:00:00,2016-02-09 09:32:00,2,0,A,D
2016-02-05 14:00:00,2016-02-09 06:53:00,2,0,A,D
2016-02-05 14:04:00,2016-02-13 07:58:00,2,0,E,E
2016-02-06 14:00:00,2016-02-10 06:58:00,2,0,A,A
2016-02-06 16:31:00,2016-02-10 08:28:00,2,0,A,A
2016-02-06 16:29:00,2016-02-13 08:45:00,2,0,E,E
2016-02-08 14:27:00,2016-02-10 08:12:00,2,0,D,D
2016-02-08 14:04:00,2016-02-10 09:37:00,2,0,D,D
2016-02-08 18:00:00,2016-02-12 09:25:00,2,0,D,D
2016-02-08 15:39:00,2016-02-12 08:45:00,2,0,D,G
2016-02-09 15:52:00,2016-02-11 08:46:00,2,0,A,A
2016-02-09 17:59:00,2016-02-11 09:03:00,2,0,A,A
2016-02-09 16:34:00,2016-02-11 10:37:00,2,0,A,A
2016-02-09 20:04:00,2016-02-11 09:07:00,2,0,A,A
2016-02-09 14:25:00,2016-02-11 09:44:00,2,0,A,A
2016-02-09 18:30:00,2016-02-11 07:55:00,2,0,A,A
2016-02-09 15:46:00,2016-02-11 09:02:00,2,0,A,A
2016-02-09 18:12:00,2016-02-11 08:07:00,2,0,A,A
2016-02-09 15:15:00,2016-02-11 08:57:00,2,0,A,A
2016-02-09 17:31:00,2016-02-11 09:55:00,2,0,A,A
2016-02-10 14:16:00,2016-02-11 09:55:00,1,0,A,D
2016-02-10 16:31:00,2016-02-12 08:51:00,2,0,E,E
2016-02-10 15:17:00,2016-02-13 07:15:00,2,0,E,E
2016-02-10 16:30:00,2016-02-16 09:55:00,1,0,A,D
2016-02-11 14:12:00,2016-02-16 09:39:00,2,0,E,E
2016-02-12 18:26:00,2016-02-14 09:27:00,2,0,A,A
2016-02-12 15:42:00,2016-02-14 09:19:00,3,0,A,C
2016-02-12 17:55:00,2016-02-14 09:55:00,1,0,A,A
2016-02-12 14:00:00,2016-02-14 08:08:00,2,0,A,A
2016-02-12 19:07:00,2016-02-14 08:10:00,2,0,A,A
2016-02-12 15:49:00,2016-02-14 08:53:00,2,0,A,A
2016-02-12 15:13:00,2016-02-14 09:48:00,2,0,A,A
2016-02-12 14:41:00,2016-02-14 08:53:00,2,0,A,A
2016-02-12 14:54:00,2016-02-14 07:46:00,2,0,A,A
2016-02-12 17:34:00,2016-02-14 09:51:00,2,0,A,A
2016-02-12 15:12:00,2016-02-14 09:30:00,2,0,A,A
2016-02-12 15:32:00,2016-02-14 09:17:00,1,0,A,A
2016-02-12 14:14:00,2016-02-14 08:37:00,2,0,A,A
2016-02-12 15:22:00,2016-02-14 09:24:00,2,0,A,A
2016-02-12 14:35:00,2016-02-14 08:46:00,2,0,A,A
2016-02-12 14:09:00,2016-02-14 09:03:00,3,0,A,C
2016-02-12 17:00:00,2016-02-14 07:54:00,1,0,A,A
2016-02-12 15:31:00,2016-02-14 09:18:00,2,0,A,A
2016-02-12 14:25:00,2016-02-14 09:03:00,2,0,A,A
2016-02-12 13:53:00,2016-02-14 09:17:00,2,0,A,A
2016-02-12 14:00:00,2016-02-14 08:18:00,2,0,A,A
2016-02-12 15:08:00,2016-02-14 09:59:00,3,0,A,C
2016-02-12 14:58:00,2016-02-14 08:36:00,1,0,A,A
2016-02-12 17:15:00,2016-02-15 09:41:00,2,0,D,D
2016-02-13 17:57:00,2016-02-20 09:01:00,2,0,A,A
2016-02-13 16:18:00,2016-02-20 11:10:00,2,0,D,D
2016-02-14 14:18:00,2016-02-15 09:16:00,1,0,A,D
2016-02-14 18:54:00,2016-02-20 08:41:00,2,1,A,C
2016-02-15 16:07:00,2016-02-17 07:06:00,2,0,A,A
2016-02-15 17:16:00,2016-02-17 11:51:00,2,0,A,A
2016-02-15 16:51:00,2016-02-21 07:38:00,2,0,E,E
2016-02-15 18:16:00,2016-02-21 09:08:00,2,1,G,G
2016-02-16 19:22:00,2016-02-24 07:42:00,2,0,E,E
2016-02-16 14:23:00,2016-02-25 08:05:00,2,0,D,D
2016-02-17 16:56:00,2016-02-19 09:08:00,2,0,E,F
2016-02-19 17:56:00,2016-02-26 09:28:00,1,0,A,A
2016-02-19 14:18:00,2016-02-26 09:58:00,2,0,E,E
2016-02-19 15:17:00,2016-02-26 09:27:00,1,0,A,A
2016-02-20 14:56:00,2016-02-23 08:09:00,2,0,D,D
2016-02-20 17:49:00,2016-03-05 08:42:00,2,0,E,E
2016-02-20 18:26:00,2016-03-05 09:27:00,2,0,E,E
2016-02-22 16:05:00,2016-02-27 08:23:00,2,0,E,E
2016-02-22 17:58:00,2016-03-03 10:23:00,1,0,A,A
2016-02-22 16:05:00,2016-03-03 09:39:00,1,0,A,A
2016-02-25 17:56:00,2016-03-24 09:34:00,2,0,E,E
2016-02-26 18:58:00,2016-03-04 10:20:00,1,0,A,A
2016-02-27 15:15:00,2016-02-29 10:31:00,2,0,A,A
2016-02-27 14:08:00,2016-02-29 08:44:00,2,0,A,C
2016-02-27 18:54:00,2016-02-29 09:13:00,2,0,A,A
2016-02-27 17:01:00,2016-02-29 09:24:00,2,0,A,C
2016-02-27 15:50:00,2016-02-29 09:06:00,2,0,A,A
2016-02-27 18:40:00,2016-02-29 10:06:00,2,0,A,A
2016-02-27 17:42:00,2016-02-29 09:24:00,2,0,A,A
2016-02-27 14:01:00,2016-02-29 11:00:00,2,0,A,A
2016-02-27 16:27:00,2016-02-29 09:02:00,2,0,A,A
2016-02-27 14:21:00,2016-02-29 09:07:00,2,0,A,C
2016-02-27 14:19:00,2016-02-29 09:20:00,2,0,A,A
2016-02-27 18:08:00,2016-02-29 08:53:00,2,0,A,A
2016-02-27 14:12:00,2016-02-29 07:28:00,2,0,A,A
2016-02-27 15:29:00,2016-02-29 09:45:00,2,0,A,C
2016-02-27 14:52:00,2016-02-29 09:17:00,2,0,A,A
2016-02-27 17:25:00,2016-02-29 07:35:00,2,0,A,C
2016-02-27 14:58:00,2016-02-29 07:20:00,2,0,A,A
2016-02-27 14:00:00,2016-02-29 08:39:00,2,0,A,C
2016-02-27 18:14:00,2016-02-29 09:15:00,2,0,A,A
2016-02-27 15:09:00,2016-02-29 09:57:00,2,0,A,A
2016-02-27 14:40:00,2016-02-29 07:37:00,2,0,A,A
2016-02-27 15:29:00,2016-02-29 09:29:00,2,0,A,A
2016-03-02 16:00:00,2016-03-30 08:43:00,2,0,D,D
2016-03-03 14:39:00,2016-03-04 09:48:00,1,0,A,A
2016-03-07 15:14:00,2016-03-14 08:00:00,2,0,A,D
2016-03-07 14:37:00,2016-03-21 09:44:00,2,0,E,E
2016-03-08 16:16:00,2016-03-09 10:07:00,1,0,A,A
2016-03-08 14:33:00,2016-03-12 09:09:00,2,0,D,D
2016-03-08 15:32:00,2016-03-12 07:24:00,2,0,D,D
2016-03-08 14:51:00,2016-03-22 09:14:00,2,0,A,A
2016-03-13 14:45:00,2016-03-20 08:06:00,2,0,A,A
2016-03-15 18:34:00,2016-03-17 09:34:00,1,0,A,A
2016-03-15 14:45:00,2016-03-22 08:25:00,2,0,D,D
2016-03-16 17:10:00,2016-03-19 08:28:00,2,0,A,D
2016-03-16 17:04:00,2016-03-27 06:48:00,2,0,F,F
2016-03-17 20:05:00,2016-03-18 09:45:00,1,0,A,A
2016-03-17 14:35:00,2016-03-24 08:23:00,2,0,A,A
2016-03-18 14:37:00,2016-03-22 07:14:00,2,0,A,D
2016-03-18 16:08:00,2016-03-26 09:56:00,2,0,A,A
2016-03-18 17:02:00,2016-03-31 08:59:00,2,0,D,D
2016-03-19 14:18:00,2016-03-20 07:19:00,2,0,E,E
2016-03-19 14:13:00,2016-03-26 09:36:00,2,0,A,A
2016-03-19 15:11:00,2016-03-26 09:04:00,2,0,E,E
2016-03-20 17:20:00,2016-03-24 07:49:00,2,0,A,D
2016-03-20 15:59:00,2016-03-24 09:36:00,2,0,A,D
2016-03-20 18:57:00,2016-03-26 09:57:00,2,0,E,E
2016-03-20 16:50:00,2016-03-27 07:13:00,2,0,A,A
2016-03-21 17:03:00,2016-03-28 08:06:00,2,0,A,A
2016-03-22 14:55:00,2016-03-29 10:40:00,2,0,E,E
2016-03-22 16:02:00,2016-03-30 08:47:00,2,0,D,D
2016-03-22 14:05:00,2016-04-01 08:24:00,3,0,E,E
2016-03-23 15:45:00,2016-03-26 08:52:00,2,0,A,H
2016-03-24 14:24:00,2016-03-27 09:09:00,2,0,A,A
2016-03-24 14:40:00,2016-03-27 09:24:00,2,0,A,A
2016-03-24 17:14:00,2016-03-27 09:59:00,2,0,A,A
2016-03-24 18:47:00,2016-03-27 09:40:00,3,0,A,C
2016-03-24 16:48:00,2016-03-27 08:01:00,2,0,A,A
2016-03-24 15:30:00,2016-03-27 07:34:00,2,0,A,A
2016-03-24 16:45:00,2016-03-27 09:24:00,2,0,A,A
2016-03-24 21:08:00,2016-03-27 08:43:00,2,0,A,A
2016-03-24 14:31:00,2016-03-27 07:55:00,1,0,A,A
2016-03-24 15:38:00,2016-03-27 07:47:00,1,0,A,A
2016-03-24 15:24:00,2016-03-27 09:41:00,2,0,A,A
2016-03-24 15:00:00,2016-03-27 08:58:00,2,0,A,A
2016-03-24 15:56:00,2016-03-27 07:58:00,2,0,A,A
2016-03-24 15:15:00,2016-03-27 08:18:00,2,0,A,A
2016-03-24 20:52:00,2016-03-27 08:23:00,2,0,A,A
2016-03-24 14:30:00,2016-03-27 07:30:00,2,0,A,C
2016-03-24 18:36:00,2016-03-27 09:22:00,3,0,A,C
2016-03-24 14:54:00,2016-03-27 08:45:00,2,0,A,A
2016-03-24 15:54:00,2016-03-27 09:30:00,2,0,A,A
2016-03-24 14:29:00,2016-03-27 06:17:00,2,0,A,A
2016-03-24 15:20:00,2016-03-27 09:13:00,2,0,A,A
2016-03-24 16:10:00,2016-03-27 10:27:00,2,0,A,A
2016-03-24 19:22:00,2016-03-27 06:48:00,2,0,A,A
2016-03-24 19:24:00,2016-03-27 09:50:00,2,0,A,A
2016-03-24 18:00:00,2016-03-27 08:16:00,2,0,A,A
2016-03-24 15:59:00,2016-03-27 09:59:00,2,0,A,A
2016-03-24 15:59:00,2016-03-27 06:58:00,2,0,A,A
2016-03-24 15:23:00,2016-03-27 08:19:00,2,0,A,A
2016-03-24 16:04:00,2016-03-27 08:55:00,2,0,A,A
2016-03-24 16:12:00,2016-03-27 09:53:00,2,0,A,A
2016-03-24 17:11:00,2016-03-27 09:21:00,2,0,A,A
2016-03-24 16:03:00,2016-03-27 09:24:00,2,0,A,A
2016-03-24 14:04:00,2016-03-27 09:37:00,2,0,A,A
2016-03-24 17:10:00,2016-03-27 09:42:00,2,0,A,A
2016-03-24 17:15:00,2016-03-27 09:54:00,2,0,A,A
2016-03-24 16:33:00,2016-03-27 09:07:00,2,0,A,C
2016-03-24 15:01:00,2016-03-27 08:48:00,3,0,A,C
2016-03-24 14:44:00,2016-03-27 06:42:00,1,0,A,A
2016-03-24 15:35:00,2016-03-27 07:56:00,2,0,A,A
2016-03-24 14:21:00,2016-03-27 08:50:00,2,0,A,A
2016-03-24 15:57:00,2016-03-27 09:12:00,2,0,A,A
2016-03-24 17:01:00,2016-03-27 10:18:00,2,0,A,A
2016-03-24 17:00:00,2016-03-27 06:57:00,2,0,A,A
2016-03-24 15:35:00,2016-03-27 08:43:00,2,0,A,A
2016-03-24 15:46:00,2016-03-27 09:09:00,2,0,A,A
2016-03-24 19:25:00,2016-03-27 09:53:00,2,0,A,A
2016-03-24 15:21:00,2016-03-27 08:36:00,2,0,A,A
2016-03-24 14:09:00,2016-03-27 09:13:00,2,0,A,A
2016-03-24 17:43:00,2016-03-27 09:13:00,3,0,A,C
2016-03-24 14:52:00,2016-03-27 07:28:00,2,0,A,A
2016-03-24 18:02:00,2016-03-27 09:33:00,2,0,A,A
2016-03-24 16:19:00,2016-03-27 07:39:00,2,0,A,C
2016-03-24 17:54:00,2016-03-27 08:57:00,3,0,A,C
2016-03-24 14:56:00,2016-03-27 08:34:00,2,0,A,A
2016-03-24 17:54:00,2016-03-27 09:34:00,2,0,A,A
2016-03-24 14:14:00,2016-03-28 09:24:00,2,0,A,I
2016-03-24 14:17:00,2016-03-28 09:53:00,2,0,A,I
2016-03-25 17:05:00,2016-03-28 04:54:00,2,0,A,A
2016-03-25 14:32:00,2016-03-28 09:41:00,2,0,A,A
2016-03-25 17:48:00,2016-04-01 08:58:00,2,0,E,E
2016-03-25 15:40:00,2016-04-02 09:22:00,2,0,D,D
2016-03-28 15:39:00,2016-04-04 10:19:00,2,0,A,D
2016-03-28 14:31:00,2016-04-04 08:02:00,2,0,A,D
2016-03-28 16:15:00,2016-04-04 08:22:00,2,0,A,D
2016-03-28 14:50:00,2016-04-04 06:53:00,2,0,A,D
2016-03-28 20:53:00,2016-04-04 09:14:00,2,0,A,D
2016-03-28 15:49:00,2016-04-04 08:13:00,2,0,A,D
2016-03-28 15:26:00,2016-04-04 07:48:00,2,0,A,D
2016-03-29 18:28:00,2016-04-04 07:16:00,1,0,A,D
2016-03-30 16:20:00,2016-04-03 09:06:00,2,0,A,A
2016-03-30 15:03:00,2016-04-03 08:20:00,2,0,A,E
2016-03-30 14:24:00,2016-04-03 11:00:00,1,0,A,A
2016-03-30 17:30:00,2016-04-04 08:32:00,3,0,A,C
2016-03-30 15:11:00,2016-04-04 09:13:00,1,0,A,E
2016-03-30 15:18:00,2016-04-04 08:21:00,2,1,A,C
2016-03-30 16:58:00,2016-04-04 07:59:00,2,0,A,A
2016-03-30 15:45:00,2016-04-04 10:08:00,2,0,A,F
2016-03-30 17:20:00,2016-04-04 07:49:00,2,0,A,A
2016-03-30 17:43:00,2016-04-04 09:28:00,2,0,A,A
2016-03-30 14:40:00,2016-04-04 08:13:00,2,0,A,A
2016-03-30 19:14:00,2016-04-04 09:24:00,2,0,A,A
2016-03-30 14:07:00,2016-04-04 08:19:00,2,0,A,C
2016-03-30 16:22:00,2016-04-04 09:30:00,2,0,A,A
2016-03-31 14:18:00,2016-04-03 09:11:00,2,0,A,C
2016-03-31 20:11:00,2016-04-03 09:39:00,2,0,A,D
2016-03-31 15:05:00,2016-04-03 08:34:00,2,0,A,D
2016-03-31 16:48:00,2016-04-03 08:54:00,2,0,A,E
2016-03-31 15:07:00,2016-04-03 08:37:00,2,0,A,A
2016-03-31 17:15:00,2016-04-03 09:46:00,2,0,A,D
2016-03-31 14:51:00,2016-04-03 08:31:00,2,0,A,E
2016-03-31 15:07:00,2016-04-03 09:35:00,2,0,A,B
2016-03-31 14:16:00,2016-04-03 06:46:00,2,0,A,A
2016-03-31 15:32:00,2016-04-03 09:34:00,2,0,A,E
2016-03-31 14:47:00,2016-04-03 10:38:00,2,0,A,C
2016-03-31 17:15:00,2016-04-03 08:26:00,2,0,A,A
2016-03-31 17:08:00,2016-04-03 09:08:00,2,0,A,D
2016-03-31 20:12:00,2016-04-03 07:58:00,2,0,A,A
2016-03-31 17:46:00,2016-04-03 08:07:00,1,0,A,A
2016-03-31 14:17:00,2016-04-03 09:39:00,2,0,A,A
2016-03-31 14:55:00,2016-04-03 08:25:00,2,0,A,D
2016-03-31 15:24:00,2016-04-03 09:18:00,2,0,A,E
2016-03-31 14:39:00,2016-04-03 09:43:00,2,0,A,E
2016-03-31 21:04:00,2016-04-03 09:26:00,2,0,A,D
2016-03-31 15:41:00,2016-04-03 06:56:00,2,0,A,D
2016-03-31 14:47:00,2016-04-03 09:15:00,2,0,A,D
2016-03-31 14:32:00,2016-04-04 08:34:00,1,0,A,A
2016-03-31 16:03:00,2016-04-04 10:17:00,2,0,A,A
2016-03-31 15:18:00,2016-04-04 09:51:00,3,0,A,C
2016-03-31 17:42:00,2016-04-03 07:39:00,1,0,A,A
2016-03-31 16:58:00,2016-04-03 07:31:00,2,1,A,C
2016-03-31 14:43:00,2016-04-03 08:36:00,2,0,A,C
2016-03-31 16:00:00,2016-04-03 08:56:00,2,0,A,A
2016-03-31 14:49:00,2016-04-03 09:56:00,1,0,A,A
2016-03-31 15:43:00,2016-04-03 07:51:00,1,0,A,A
2016-03-31 15:33:00,2016-04-04 09:13:00,2,0,A,A
2016-03-31 17:33:00,2016-04-04 09:24:00,2,0,A,A
2016-03-31 16:28:00,2016-04-04 09:16:00,3,0,A,C
2016-03-31 14:16:00,2016-04-04 09:00:00,2,0,A,A
2016-03-31 18:35:00,2016-04-04 08:20:00,2,0,A,A
2016-03-31 17:08:00,2016-04-04 07:57:00,2,0,A,A
2016-03-31 19:01:00,2016-04-04 08:48:00,2,0,A,A
2016-03-31 18:02:00,2016-04-04 09:34:00,2,0,A,A
2016-03-31 15:25:00,2016-04-04 09:36:00,1,0,A,A
2016-03-31 15:43:00,2016-04-04 09:32:00,1,0,A,A
2016-03-31 17:50:00,2016-04-04 08:32:00,2,0,A,A
2016-03-31 15:05:00,2016-04-04 07:55:00,2,0,A,A
2016-03-31 15:42:00,2016-04-04 09:06:00,2,0,A,A
2016-03-31 16:34:00,2016-04-04 08:24:00,2,0,A,C
2016-03-31 16:35:00,2016-04-04 08:17:00,1,0,A,A
2016-03-31 21:09:00,2016-04-04 09:00:00,1,0,A,A
2016-03-31 14:41:00,2016-04-04 06:11:00,2,0,A,A
2016-03-31 14:27:00,2016-04-04 09:04:00,2,0,A,A
2016-03-31 18:54:00,2016-04-05 09:16:00,2,0,A,A
2016-03-31 16:38:00,2016-04-04 09:05:00,2,0,A,A
2016-03-31 14:15:00,2016-04-04 06:35:00,2,0,A,E
2016-03-31 15:29:00,2016-04-05 09:18:00,2,0,A,A
2016-04-01 17:12:00,2016-04-03 07:14:00,1,0,A,D
2016-04-01 15:01:00,2016-04-05 09:21:00,2,0,A,D
2016-04-01 16:03:00,2016-04-05 10:58:00,2,0,A,D
2016-04-01 15:26:00,2016-04-05 08:59:00,2,0,A,D
2016-04-01 14:18:00,2016-04-08 11:08:00,2,0,A,D
2016-04-02 15:41:00,2016-04-06 09:36:00,2,0,A,D
2016-04-02 15:05:00,2016-04-09 09:28:00,2,0,A,A
2016-04-02 19:12:00,2016-04-09 09:19:00,2,0,A,A
2016-04-03 16:17:00,2016-04-05 09:52:00,2,0,A,D
2016-04-03 16:48:00,2016-04-06 08:03:00,2,0,A,F
2016-04-04 20:17:00,2016-04-06 09:19:00,2,0,A,A
2016-04-04 14:14:00,2016-04-06 09:49:00,1,0,A,A
2016-04-04 15:52:00,2016-04-06 09:51:00,2,0,A,A
2016-04-04 15:39:00,2016-04-06 09:59:00,2,0,A,A
2016-04-04 14:19:00,2016-04-06 05:23:00,2,0,A,A
2016-04-04 14:10:00,2016-04-06 09:56:00,1,0,A,A
2016-04-04 15:10:00,2016-04-06 09:11:00,1,0,A,A
2016-04-04 16:44:00,2016-04-06 08:03:00,1,0,A,A
2016-04-04 15:06:00,2016-04-06 09:31:00,2,0,A,A
2016-04-04 14:33:00,2016-04-06 07:55:00,2,0,A,A
2016-04-04 16:23:00,2016-04-06 08:10:00,2,0,A,A
2016-04-04 14:28:00,2016-04-06 08:11:00,2,0,A,A
2016-04-04 19:51:00,2016-04-06 09:06:00,2,0,A,A
2016-04-04 16:53:00,2016-04-06 08:58:00,1,0,A,A
2016-04-04 19:13:00,2016-04-06 07:56:00,1,0,A,A
2016-04-04 14:30:00,2016-04-06 09:53:00,1,0,A,A
2016-04-04 15:33:00,2016-04-06 07:23:00,2,0,A,A
2016-04-04 16:45:00,2016-04-06 09:49:00,2,0,A,A
2016-04-04 18:14:00,2016-04-06 10:09:00,1,0,A,A
2016-04-04 20:21:00,2016-04-06 07:35:00,2,0,A,A
2016-04-04 15:55:00,2016-04-06 08:28:00,2,0,A,A
2016-04-04 14:32:00,2016-04-06 09:28:00,1,0,A,A
2016-04-04 14:58:00,2016-04-06 09:56:00,1,0,A,A
2016-04-04 16:31:00,2016-04-06 06:26:00,2,0,A,A
2016-04-04 18:10:00,2016-04-06 09:27:00,2,0,A,A
2016-04-04 16:40:00,2016-04-06 08:13:00,2,0,A,A
2016-04-04 14:40:00,2016-04-06 09:22:00,1,0,A,A
2016-04-04 15:29:00,2016-04-06 09:03:00,2,0,A,A
2016-04-04 14:31:00,2016-04-06 08:18:00,1,0,A,D
2016-04-04 15:44:00,2016-04-06 06:51:00,2,0,A,A
2016-04-04 16:21:00,2016-04-06 08:13:00,2,0,A,A
